document_id,name,identifiers,location,site_type,date,nfix_method,substrate_type,sample_depth,additional_details,attribute,value,units
R218,Arctic Shelf 11,,"(72.0, -160.0)",continental shelves,2015-09-06,15N2,wc,,,nfix_rate,0.0,umol-n m-2 d-1
R218,Arctic Shelf 13,,"(72.0, -160.0)",continental shelves,2015-09-06,15N2,wc,,,nfix_rate,26.6,umol-n m-2 d-1
R218,Arctic Shelf 47,,"(72.0, -160.0)",continental shelves,2015-09-06,15N2,wc,,,nfix_rate,14.3,umol-n m-2 d-1
R218,Arctic Shelf 102,,"(72.0, -160.0)",continental shelves,2015-09-06,15N2,wc,,,nfix_rate,6.53,umol-n m-2 d-1
R218,Arctic Shelf 108,,"(72.0, -160.0)",continental shelves,2015-09-06,15N2,wc,,,nfix_rate,19.5,umol-n m-2 d-1
R44,South China Sea-upwelling,,"(25.574264, 122.1608333)",continental shelves,1995-03-01,ARA,wc,5.0,,nfix_rate,0.3,umol-n m-2 d-1
R44,South China Sea-upwelling,,"(25.574264, 122.1608333)",continental shelves,1994-07-01,ARA,wc,12.0,,nfix_rate,33.6,umol-n m-2 d-1
R44,South China Sea-upwelling,,"(25.574264, 122.1608333)",continental shelves,1995-09-01,ARA,wc,12.0,,nfix_rate,2.1,umol-n m-2 d-1
R44,South China Sea-Kuroshio,,"(24.884903, 123.2277778)",continental shelves,1995-03-01,ARA,wc,5.0,,nfix_rate,6.2,umol-n m-2 d-1
R44,South China Sea-Kuroshio,,"(24.884903, 123.2277778)",continental shelves,1995-05-01,ARA,wc,12.0,,nfix_rate,59.4,umol-n m-2 d-1
R44,South China Sea-Kuroshio,,"(24.884903, 123.2277778)",continental shelves,1995-09-01,ARA,wc,12.0,,nfix_rate,3.4,umol-n m-2 d-1
R44,South China Sea-Kuroshio,,"(24.884903, 123.2277778)",continental shelves,1996-01-01,ARA,wc,12.0,,nfix_rate,0.1,umol-n m-2 d-1
R34,Mornington Island,,"(-15.96, 139.44)",continental shelves,2005-03-02,ARA,wc,,,nfix_rate,76.0,umol-n m-2 h-1
R34,Mornington Island,,"(-15.96, 139.44)",continental shelves,2005-03-02,ARA,wc,,,nfix_rate,42.0,umol-n m-2 h-1
R34,Mornington Island,,"(-15.96, 139.44)",continental shelves,2005-03-02,ARA,wc,,,nfix_rate,27.0,umol-n m-2 h-1
R34,Mornington Island,,"(-15.96, 139.44)",continental shelves,2005-03-02,ARA,wc,,,nfix_rate,578.0,umol-n m-2 d-1
R96,northern Beibu Gulf,,"(21.552818, 108.84322)",estuaries,2017-08,ARA,wc,0.0,,nfix_rate,0.33,nmol-n l-1 h-1
R96,northern Beibu Gulf,,"(21.552818, 108.84322)",estuaries,2017-12,ARA,wc,0.0,,nfix_rate,0.23,nmol-n l-1 h-1
R32,New Caledonia lagoon,,"(-22.480917, 166.4454)",estuaries,2013-01-13,15N2,wc,,,nfix_rate,18.5,nmol-n l-1 d-1
R32,New Caledonia lagoon,,"(-22.480917, 166.4454)",estuaries,2013-01-13,15N2,wc,0.0,,nfix_rate,9.2,nmol-n l-1 d-1
R135,Estuarine st. 4,,"(5.95957194, -51.4879455)",estuaries,2010-05,15N2,wc,,,nfix_rate,48.0,umol-n m-2 d-1
R135,Estuarine st. 10,,"(4.8941736, -51.3895418)",estuaries,2010-05,15N2,wc,,,nfix_rate,9.0,umol-n m-2 d-1
R135,Estuarine st. 11,,"(5.49346017, -51.4884985)",estuaries,2010-05,15N2,wc,,,nfix_rate,10.0,umol-n m-2 d-1
R135,Estuarine st. 14,,"(5.92627824, -51.5544301)",estuaries,2010-05,15N2,wc,,,nfix_rate,11.0,umol-n m-2 d-1
R135,Estuarine st. 16,,"(6.69203329, -51.8193023)",estuaries,2010-05,15N2,wc,,,nfix_rate,28.0,umol-n m-2 d-1
R4,"Alcanada, Alcudia Bay",,"(39.84, 3.17)",estuaries,2012,ARA,benthos,,,nfix_rate,1.988,mg-n m-2 d-1
R4,"Alcanada, Alcudia Bay",,"(39.84, 3.17)",estuaries,2012,ARA,benthos,,,nfix_rate,0.115,mg-n m-2 d-1
R4,"Alcanada, Alcudia Bay",,"(39.84, 3.17)",estuaries,2012,ARA,benthos,,,nfix_rate,0.012,mg-n m-2 d-1
R4,"Alcanada, Alcudia Bay",,"(39.84, 3.17)",estuaries,2013,ARA,benthos,,,nfix_rate,0.074,mg-n m-2 d-1
R4,"Alcanada, Alcudia Bay",,"(39.84, 3.17)",estuaries,2013,ARA,benthos,,,nfix_rate,0.842,mg-n m-2 d-1
R4,"Albufera, Alcudia Bay",,"(39.83, 3.14)",estuaries,2012,ARA,benthos,,,nfix_rate,2.204,mg-n m-2 d-1
R4,"Albufera, Alcudia Bay",,"(39.83, 3.14)",estuaries,2013,ARA,benthos,,,nfix_rate,0.56,mg-n m-2 d-1
R4,"Arenal, Palma Bay",,"(39.5, 2.75)",estuaries,2012,ARA,benthos,,,nfix_rate,0.196,mg-n m-2 d-1
R4,"Arenal, Palma Bay",,"(39.5, 2.75)",estuaries,2013,ARA,benthos,,,nfix_rate,0.483,mg-n m-2 d-1
R4,"Calanova, Palma Bay",,"(39.54, 2.6)",estuaries,2012,ARA,benthos,,,nfix_rate,0.511,mg-n m-2 d-1
R4,"Calanova, Palma Bay",,"(39.54, 2.6)",estuaries,2013,ARA,benthos,,,nfix_rate,0.417,mg-n m-2 d-1
R116,Subtidal at East end of Dauphin Island,,"(30.250833, -88.07777778)",estuaries,2014-06,ARA,benthos,,,nfix_rate,2.47,umol-n m-2 h-1
R116,Subtidal at East end of Dauphin Island,,"(30.250833, -88.07777778)",estuaries,2014-12,ARA,benthos,,,nfix_rate,2.36,umol-n m-2 h-1
R59,"Stn B1, <20um Day",,"(58.815945, 17.63698)",estuaries,2000-08,15N2,wc,,,nfix_rate,14.8,ng-n l-1 h-1
R59,"Stn B1, >20um Day",,"(58.815945, 17.63698)",estuaries,2000-08,15N2,wc,,,nfix_rate,26.7,ng-n l-1 h-1
R59,Stn BY31 <20um Day,,"(58.365723, 17.905116)",estuaries,2000-08,15N2,wc,,,nfix_rate,1.4,ng-n l-1 h-1
R59,Stn BY31 >20um Day,,"(58.365723, 17.905116)",estuaries,2000-08,15N2,wc,,,nfix_rate,125.5,ng-n l-1 h-1
R59,"Stn B1, <20um Night",,"(58.815945, 17.63698)",estuaries,2000-08,15N2,wc,,,nfix_rate,1.2,ng-n l-1 h-1
R59,"Stn B1, >20um Night",,"(58.815945, 17.63698)",estuaries,2000-08,15N2,wc,,,nfix_rate,4.8,ng-n l-1 h-1
R59,Stn BY31 <20um Night,,"(58.365723, 17.905116)",estuaries,2000-08,15N2,wc,,,nfix_rate,4.1,ng-n l-1 h-1
R59,Stn BY31 >20um Night,,"(58.365723, 17.905116)",estuaries,2000-08,15N2,wc,,,nfix_rate,30.0,ng-n l-1 h-1
R59,"Total N2 Fix 1998, Stn BY31",,"(58.365723, 17.905116)",estuaries,1998,15N2,wc,,,nfix_rate,655.0,mg-n m-2 y-1
R59,"Total N2 Fix 1999, Stn BY31",,"(58.365723, 17.905116)",estuaries,1999,15N2,wc,,,nfix_rate,709.0,mg-n m-2 y-1
R59,"Total N2 Fix 2000, Stn BY31",,"(58.365723, 17.905116)",estuaries,2000,15N2,wc,,,nfix_rate,301.0,mg-n m-2 y-1
R59,"N2 fix, cells >20um 1998, Stn BY31",,"(58.365723, 17.905116)",estuaries,1998,15N2,wc,,,nfix_rate,494.0,mg-n m-2 y-1
R59,"N2 fix, cells >20um 1999, Stn BY31",,"(58.365723, 17.905116)",estuaries,1999,15N2,wc,,,nfix_rate,549.0,mg-n m-2 y-1
R59,"N2 fix, cells >20um 2000, Stn BY31",,"(58.365723, 17.905116)",estuaries,2000,15N2,wc,,,nfix_rate,227.0,mg-n m-2 y-1
R59,"Total N2 Fix 1998, Stn X1",,"(58.844572, 17.669744)",estuaries,1998,15N2,wc,,,nfix_rate,242.0,mg-n m-2 y-1
R59,"Total N2 Fix 1999, Stn X1",,"(58.844572, 17.669744)",estuaries,1999,15N2,wc,,,nfix_rate,422.0,mg-n m-2 y-1
R59,"Total N2 Fix 2000, Stn X1",,"(58.844572, 17.669744)",estuaries,2000,15N2,wc,,,nfix_rate,970.0,mg-n m-2 y-1
R59,"N2 fix, cells >20um 1998, Stn X1",,"(58.844572, 17.669744)",estuaries,1998,15N2,wc,,,nfix_rate,212.0,mg-n m-2 y-1
R59,"N2 fix, cells >20um 1999, Stn X1",,"(58.844572, 17.669744)",estuaries,1999,15N2,wc,,,nfix_rate,283.0,mg-n m-2 y-1
R59,"N2 fix, cells >20um 2000, Stn X1",,"(58.844572, 17.669744)",estuaries,2000,15N2,wc,,,nfix_rate,821.0,mg-n m-2 y-1
R59,"Total N2 Fix 1998, Stn H4",,"(58.991685, 17.731885)",estuaries,1998,15N2,wc,,,nfix_rate,259.0,mg-n m-2 y-1
R59,"Total N2 Fix 1999, Stn H4",,"(58.991685, 17.731885)",estuaries,1999,15N2,wc,,,nfix_rate,121.0,mg-n m-2 y-1
R59,"Total N2 Fix 2000, Stn H4",,"(58.991685, 17.731885)",estuaries,2000,15N2,wc,,,nfix_rate,821.0,mg-n m-2 y-1
R59,"N2 fix, cells >20um 1998, Stn H4",,"(58.991685, 17.731885)",estuaries,1998,15N2,wc,,,nfix_rate,213.0,mg-n m-2 y-1
R59,"N2 fix, cells >20um 1999, Stn H4",,"(58.991685, 17.731885)",estuaries,1999,15N2,wc,,,nfix_rate,78.0,mg-n m-2 y-1
R59,"N2 fix, cells >20um 2000, Stn H4",,"(58.991685, 17.731885)",estuaries,2000,15N2,wc,,,nfix_rate,598.0,mg-n m-2 y-1
R156,Weipa seagrass bed,,"(-12.648099, 141.811)",estuaries,1986-11,ARA,benthos,0.12,,nfix_rate,25.0,mg-n m-2 d-1
R156,Weipa mud flat,,"(-12.648099, 141.9528)",estuaries,1986-11,ARA,benthos,0.12,,nfix_rate,19.6,mg-n m-2 d-1
R1,Giralia Bay,,"(-22.436944, 114.3461111)",estuaries,2008-03-24,ARA,benthos,0.04,,nfix_rate,1.7,nmol-n cm-2 h-1
R1,Giralia Bay,,"(-22.436944, 114.3461111)",estuaries,2008-03-24,ARA,benthos,0.04,,nfix_rate,0.47,nmol-n cm-2 h-1
R154,Gotland Basin - Central Baltic,,"(57.283333, 20.08333333)",estuaries,1994-07-15,ARA,wc,,,nfix_rate,3.58,nmol-c2h4 ml-1 h-1
R154,Gotland Basin - Central Baltic,,"(57.283333, 20.08333333)",estuaries,1994-07-15,ARA,wc,,,nfix_rate,1.31,nmol-c2h4 ml-1 h-1
R154,Gotland Basin - Central Baltic,,"(57.283333, 20.08333333)",estuaries,1994-07-15,ARA,wc,,,nfix_rate,1.6,nmol-c2h4 ml-1 h-1
R154,Gotland Basin - Central Baltic,,"(57.283333, 20.08333333)",estuaries,1994-07-15,ARA,wc,,,nfix_rate,0.026,nmol-c2h4 ml-1 h-1
R154,Gotland Basin - Central Baltic,,"(57.283333, 20.08333333)",estuaries,1994-07-15,ARA,wc,,,nfix_rate,0.032,nmol-c2h4 ml-1 h-1
R173,"Walker Creek Delta, Tomales Bay California",,"(38.1713, -122.9128)",estuaries,1990-07,ARA,benthos,,,nfix_rate,8.3,nmol-c2h4 cm-2 h-1
R173,"Walker Creek Delta, Tomales Bay California",,"(38.1713, -122.9128)",estuaries,1990-11,ARA,benthos,,,nfix_rate,5.5,nmol-c2h4 cm-2 h-1
R173,"Walker Creek Delta, Tomales Bay California",,"(38.1713, -122.9128)",estuaries,1991-03,ARA,benthos,,,nfix_rate,25.0,nmol-c2h4 cm-2 h-1
R173,"Walker Creek Delta, Tomales Bay California",,"(38.1713, -122.9128)",estuaries,1991-07,ARA,benthos,,,nfix_rate,47.8,nmol-c2h4 cm-2 h-1
R173,"Walker Creek Delta, Tomales Bay California",,"(38.1713, -122.9128)",estuaries,1991-11,ARA,benthos,,,nfix_rate,24.7,nmol-c2h4 cm-2 h-1
R173,"Walker Creek Delta, Tomales Bay California",,"(38.1713, -122.9128)",estuaries,1992-03,ARA,benthos,,,nfix_rate,8.3,nmol-c2h4 cm-2 h-1
R173,"Lagunitas Creek, Tomales Bay, CA",,"(38.1713, -122.9128)",estuaries,1990-07,ARA,benthos,,,nfix_rate,22.7,nmol-c2h4 cm-2 h-1
R173,"Lagunitas Creek, Tomales Bay, CA",,"(38.1713, -122.9128)",estuaries,1990-11,ARA,benthos,,,nfix_rate,7.3,nmol-c2h4 cm-2 h-1
R173,"Lagunitas Creek, Tomales Bay, CA",,"(38.1713, -122.9128)",estuaries,1991-03,ARA,benthos,,,nfix_rate,20.3,nmol-c2h4 cm-2 h-1
R173,"Lagunitas Creek, Tomales Bay, CA",,"(38.1713, -122.9128)",estuaries,1991-07,ARA,benthos,,,nfix_rate,5.2,nmol-c2h4 cm-2 h-1
R173,"Lagunitas Creek, Tomales Bay, CA",,"(38.1713, -122.9128)",estuaries,1991-11,ARA,benthos,,,nfix_rate,2.7,nmol-c2h4 cm-2 h-1
R25,"East Weeks Bay, AL",,"(30.4, 87.8)",estuaries,2012-02,ARA,benthos,,,nfix_rate,1.6,umol-n m-2 h-1
R25,"Weeks Bay Mouth, AL",,"(30.4, 87.8)",estuaries,2012-02,ARA,benthos,,,nfix_rate,2.4,umol-n m-2 h-1
R25,"West Weeks Bay, AL",,"(30.4, 87.8)",estuaries,2012-02,ARA,benthos,,,nfix_rate,2.6,umol-n m-2 h-1
R109,"Pearl River Estuary, South China Sea",,"(22.747341, 113.652219)",estuaries,2018-07-31,15N2,benthos,,,nfix_rate,0.19,ug-N g-1 d-1
R109,"Pearl River Estuary, South China Sea",,"(22.747341, 113.652219)",estuaries,2018-07-31,15N2,benthos,,,nfix_rate,0.37,ug-N g-1 d-1
R47,"1 Cape Martin, France",,"(43.752417, 7.489444444)",estuaries,2001-10-01,ARA,benthos,0.125,,nfix_rate,0.138,nmol-c2h4 cm-3 h-1
R47,"1 Cape Martin, France",,"(43.752417, 7.489444444)",estuaries,2001-10-01,ARA,benthos,0.125,,nfix_rate,3.96,nmol-c2h4 cm-3 h-1
R47,2 Monaco,,"(43.730333, 7.426666667)",estuaries,2001-10-02,ARA,benthos,0.125,,nfix_rate,0.106,nmol-c2h4 cm-3 h-1
R47,2 Monaco,,"(43.730333, 7.426666667)",estuaries,2001-10-03,ARA,benthos,0.125,,nfix_rate,0.128,nmol-c2h4 cm-3 h-1
R33,SKY & OBS average,,"(-52.508667, -72.127278)",freshwater wetlands,2014-04,15N2,benthos,,,nfix_rate,1.69,umol-n g-1 d-1
R33,SKY & OBS average,,"(-52.508667, -72.127278)",freshwater wetlands,2014-04,ARA,benthos,,,nfix_rate,1.25,umol-c2h4 g-1 d-1
R117,"SKY Southern Patagonia, Chile",,"(-52.508667, -72.127278)",freshwater wetlands,2014-03,15N2,benthos,0.1,,nfix_rate,78.0,mg-n m-2 d-1
R117,"SKY Southern Patagonia, Chile",,"(-52.508667, -72.127278)",freshwater wetlands,2014-03,15N2,benthos,0.2,,nfix_rate,77.0,mg-n m-2 d-1
R117,"SKY Southern Patagonia, Chile",,"(-52.508667, -72.127278)",freshwater wetlands,2014-03,15N2,benthos,0.5,,nfix_rate,194.0,mg-n m-2 d-1
R117,"SKY Southern Patagonia, Chile",,"(-52.508667, -72.127278)",freshwater wetlands,2014-03,15N2,benthos,0.1,,nfix_rate,72.0,mg-n m-2 d-1
R117,"SKY Southern Patagonia, Chile",,"(-52.508667, -72.127278)",freshwater wetlands,2014-03,15N2,benthos,0.2,,nfix_rate,61.0,mg-n m-2 d-1
R117,"SKY Southern Patagonia, Chile",,"(-52.508667, -72.127278)",freshwater wetlands,2014-03,15N2,benthos,0.5,,nfix_rate,216.0,mg-n m-2 d-1
R117,"OBS Southern Patagonia, Chile",,"(-52.135907, -72.446037)",freshwater wetlands,2014-03,15N2,benthos,0.1,,nfix_rate,69.0,mg-n m-2 d-1
R117,"OBS Southern Patagonia, Chile",,"(-52.135907, -72.446037)",freshwater wetlands,2014-03,15N2,benthos,0.2,,nfix_rate,44.0,mg-n m-2 d-1
R117,"OBS Southern Patagonia, Chile",,"(-52.135907, -72.446037)",freshwater wetlands,2014-03,15N2,benthos,0.5,,nfix_rate,127.0,mg-n m-2 d-1
R117,"OBS Southern Patagonia, Chile",,"(-52.135907, -72.446037)",freshwater wetlands,2014-03,15N2,benthos,0.1,,nfix_rate,63.0,mg-n m-2 d-1
R117,"OBS Southern Patagonia, Chile",,"(-52.135907, -72.446037)",freshwater wetlands,2014-03,15N2,benthos,0.2,,nfix_rate,27.0,mg-n m-2 d-1
R117,"OBS Southern Patagonia, Chile",,"(-52.135907, -72.446037)",freshwater wetlands,2014-03,15N2,benthos,0.5,,nfix_rate,59.0,mg-n m-2 d-1
R79,"Imboacica Lagoon, Brazil",,"(-22.833333, -44.7)",freshwater wetlands,1993,ARA,benthos,,,nfix_rate,0.46,nmol-n g-1 h-1
R79,"Imboacica Lagoon, Brazil",,"(-22.833333, -44.7)",freshwater wetlands,1993,ARA,benthos,,,nfix_rate,0.27,nmol-n g-1 h-1
R79,"Imboacica Lagoon, Brazil",,"(-22.833333, -44.7)",freshwater wetlands,1993,ARA,benthos,,,nfix_rate,0.45,nmol-n g-1 h-1
R79,"Imboacica Lagoon, Brazil",,"(-22.833333, -44.7)",freshwater wetlands,1993,ARA,benthos,,,nfix_rate,0.38,nmol-n g-1 h-1
R79,"Imboacica Lagoon, Brazil",,"(-22.833333, -44.7)",freshwater wetlands,1993,ARA,benthos,,,nfix_rate,0.07,nmol-n g-1 h-1
R79,"Imboacica Lagoon, Brazil",,"(-22.833333, -44.7)",freshwater wetlands,1993,ARA,benthos,,,nfix_rate,0.29,nmol-n g-1 h-1
R79,"Imboacica Lagoon, Brazil",,"(-22.833333, -44.7)",freshwater wetlands,1993,ARA,benthos,,,nfix_rate,0.26,nmol-n g-1 h-1
R79,"Imboacica Lagoon, Brazil",,"(-22.833333, -44.7)",freshwater wetlands,1993,ARA,benthos,,,nfix_rate,0.02,nmol-n g-1 h-1
R79,"Imboacica Lagoon, Brazil",,"(-22.833333, -44.7)",freshwater wetlands,1993,ARA,benthos,,,nfix_rate,0.19,nmol-n g-1 h-1
R192,"Coastal Lagoon (La Albufera) near Valencia, Spain",,"(39.407328, -0.315413)",freshwater wetlands,1989-05,ARA,benthos,,,nfix_rate,74.1,umol-c2h4 m-2 h-1
R192,"Coastal Lagoon (La Albufera) near Valencia, Spain",,"(39.407328, -0.315413)",freshwater wetlands,1989-06,ARA,benthos,,,nfix_rate,12.9,umol-c2h4 m-2 h-1
R192,"Coastal Lagoon (La Albufera) near Valencia, Spain",,"(39.407328, -0.315413)",freshwater wetlands,1989-07,ARA,benthos,,,nfix_rate,108.7,umol-c2h4 m-2 h-1
R103,"Lake Malawi, Africa, site LI-Makalawe",,"(-12.0, 34.5)",lakes,1988-05,ARA,benthos,5.0,,nfix_rate,642.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site LI-Makalawe",,"(-12.0, 34.5)",lakes,1988-05,ARA,benthos,10.0,,nfix_rate,743.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site LI-Membe",,"(-12.0, 34.5)",lakes,1988-05,ARA,benthos,2.0,,nfix_rate,1276.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site LI-Membe",,"(-12.0, 34.5)",lakes,1988-05,ARA,benthos,5.0,,nfix_rate,590.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site LI-Membe",,"(-12.0, 34.5)",lakes,1988-05,ARA,benthos,10.0,,nfix_rate,445.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Maleri N",,"(-12.0, 34.5)",lakes,1997-05,ARA,benthos,2.0,,nfix_rate,1190.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Maleri N",,"(-12.0, 34.5)",lakes,1997-05,ARA,benthos,5.0,,nfix_rate,1068.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Maleri N",,"(-12.0, 34.5)",lakes,1997-05,ARA,benthos,10.0,,nfix_rate,443.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Maleri S",,"(-12.0, 34.5)",lakes,1997-05,ARA,benthos,2.0,,nfix_rate,1310.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Maleri S",,"(-12.0, 34.5)",lakes,1997-05,ARA,benthos,5.0,,nfix_rate,782.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Maleri S",,"(-12.0, 34.5)",lakes,1997-05,ARA,benthos,10.0,,nfix_rate,108.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Thumbi West",,"(-12.0, 34.5)",lakes,1998-05,ARA,benthos,2.0,,nfix_rate,2585.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Thumbi West",,"(-12.0, 34.5)",lakes,1998-05,ARA,benthos,5.0,,nfix_rate,1029.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Thumbi West",,"(-12.0, 34.5)",lakes,1998-05,ARA,benthos,10.0,,nfix_rate,387.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Thumbi West",,"(-12.0, 34.5)",lakes,1998-05,ARA,benthos,16.0,,nfix_rate,327.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Maleri S",,"(-12.0, 34.5)",lakes,1997-06-24,ARA,benthos,2.0,,nfix_rate,718.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Maleri S",,"(-12.0, 34.5)",lakes,1997-06-24,ARA,benthos,2.0,,nfix_rate,899.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Maleri S",,"(-12.0, 34.5)",lakes,1997-06-24,ARA,benthos,2.0,,nfix_rate,948.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Thumbi West",,"(-12.0, 34.5)",lakes,1998-09-13,ARA,benthos,1.0,,nfix_rate,383.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Thumbi West",,"(-12.0, 34.5)",lakes,1998-09-13,ARA,benthos,1.0,,nfix_rate,492.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Thumbi West",,"(-12.0, 34.5)",lakes,1998-09-13,ARA,benthos,1.0,,nfix_rate,349.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Thumbi West",,"(-12.0, 34.5)",lakes,1998-09-13,ARA,benthos,2.0,,nfix_rate,982.0,ug-n2 m-2 h-1
R103,"Lake Malawi, Africa, site Thumbi West",,"(-12.0, 34.5)",lakes,1998-09-13,ARA,benthos,2.0,,nfix_rate,721.0,ug-n2 m-2 h-1
R225,"Mono Lake, Sierra Nevada, California - Station 3, 2 m depth",,"(37.98783, -119.097427)",lakes,2001-05,15N2,wc,2.0,,nfix_rate,0.0,nmol-n l-1 d-1
R225,"Mono Lake, Sierra Nevada, California - Station 3, 18.5 m depth",,"(37.98783, -119.097427)",lakes,2001-05,15N2,wc,18.5,,nfix_rate,0.0,nmol-n l-1 d-1
R225,"Mono Lake, Sierra Nevada, California - Station 3, 30 m depth",,"(37.98783, -119.097427)",lakes,2001-05,15N2,wc,30.0,,nfix_rate,0.0,nmol-n l-1 d-1
R225,"Mono Lake, Sierra Nevada, California - Station 6, 2 m depth",,"(37.964174, -119.028387)",lakes,2001-08,15N2,wc,2.0,,nfix_rate,0.0,nmol-n l-1 d-1
R225,"Mono Lake, Sierra Nevada, California - Station 6, 18.5 m depth",,"(37.964174, -119.028387)",lakes,2001-08,15N2,wc,18.5,,nfix_rate,0.0,nmol-n l-1 d-1
R225,"Mono Lake, Sierra Nevada, California - Station 6, 30 m depth",,"(37.964174, -119.028387)",lakes,2001-08,15N2,wc,30.0,,nfix_rate,0.0,nmol-n l-1 d-1
R264,Lake Chiprana,,"(41.2398386, -0.183341102)",lakes,2000-03-07,ARA,benthos,,,nfix_rate,5.5,nmol-c2h4 cm-2 d-1
R230,Lake Verevi,,"(58.231361, 26.40416667)",lakes,2000-08,ARA,wc,2.0,,nfix_rate,2.8,mg-n m-3 d-1
R230,Lake Verevi,,"(58.231361, 26.40416667)",lakes,2000-08-28,ARA,wc,0.5,,nfix_rate,0.3,mg-n m-3 d-1
R230,Lake Verevi,,"(58.231361, 26.40416667)",lakes,2001-08-28,ARA,wc,3.0,,nfix_rate,0.38,mg-n m-3 d-1
R85,"2001, Fog 2, ambient",,"(68.616667, -149.5833333)",lakes,2001-06,ARA,benthos,,,nfix_rate,0.097,mg-n m-2 d-1
R85,"2001, Fog 2, control",,"(68.616667, -149.5833333)",lakes,2001-06,ARA,benthos,,,nfix_rate,0.24,mg-n m-2 d-1
R85,"2002, Fog 2, ambient",,"(68.616667, -149.5833333)",lakes,2002-06,ARA,benthos,,,nfix_rate,0.88,mg-n m-2 d-1
