,author,title,name,location,ecosystem,date,state,attribute,value
26,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle sw,mecklenburg-brandenburg lake district,small acidic bog lake,,,max_depth,4.2
27,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle,mecklenburg-brandenburg lake district,small acidic bog lake,,,max_depth,5.6
28,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle ne,mecklenburg-brandenburg lake district,small acidic bog lake,,,max_depth,4.5
29,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle sw,mecklenburg-brandenburg lake district,small acidic bog lake,,,ph,4.4
30,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle ne,mecklenburg-brandenburg lake district,small acidic bog lake,,,ph,6.5
31,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle,mecklenburg-brandenburg lake district,small acidic bog lake,,,ph,4.7
32,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle ne,mecklenburg-brandenburg lake district,small acidic bog lake,,,surface_area,3360.0
33,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle sw,mecklenburg-brandenburg lake district,small acidic bog lake,,,surface_area,4430.0
34,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle,mecklenburg-brandenburg lake district,small acidic bog lake,,,surface_area,15000.0
35,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle sw,mecklenburg-brandenburg lake district,small acidic bog lake,,,tn,1000.0
36,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle ne,mecklenburg-brandenburg lake district,small acidic bog lake,,,tn,1700.0
37,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle ne,mecklenburg-brandenburg lake district,small acidic bog lake,,,tp,27.0
38,sepulveda-jauregui; armando; martinez-cruz; karla; lau; maximilian; casper; peter,assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago,grosse fuchskuhle sw,mecklenburg-brandenburg lake district,small acidic bog lake,,,tp,63.0
39,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,,germany,kettle hole,,,surface_area,1050.0
40,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,,germany,kettle hole,,,surface_area,1290.0
41,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,,germany,kettle hole,,,surface_area,570.0
42,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,,germany,kettle hole,,,surface_area,4000.0
43,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,,germany,kettle hole,,,surface_area,850.0
44,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,,germany,kettle hole,,,surface_area,1470.0
45,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,,germany,kettle hole,,,surface_area,2650.0
46,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,,germany,kettle hole,,,surface_area,3630.0
47,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,,germany,kettle hole,,,surface_area,1790.0
48,attermeyer; katrin; grossart; hans-peter; flury; sabine; premke; katrin,bacterial processes and biogeochemical changes in the water body of kettle holes - mainly driven by autochthonous organic matter?,,germany,kettle hole,,,surface_area,4290.0
49,ng,bacterioplankton in the littoral and pelagic zones of subtropical shallow lakes,ipe (ip),rio grande do sul state; southern brazil,subtropical shallow lake,,,chla,20.0
50,ng,bacterioplankton in the littoral and pelagic zones of subtropical shallow lakes,ipe (ip),rio grande do sul state; southern brazil,subtropical shallow lake,,,ph,7.5
51,ng,bacterioplankton in the littoral and pelagic zones of subtropical shallow lakes,ipe (ip),rio grande do sul state; southern brazil,subtropical shallow lake,,,surface_area,130000.0
52,ng,bacterioplankton in the littoral and pelagic zones of subtropical shallow lakes,ipe (ip),rio grande do sul state; southern brazil,subtropical shallow lake,,,tn,500.0
53,ng,bacterioplankton in the littoral and pelagic zones of subtropical shallow lakes,ipe (ip),rio grande do sul state; southern brazil,subtropical shallow lake,,,tp,65.0
54,ng,bacterioplankton in the littoral and pelagic zones of subtropical shallow lakes,ipe (ip),rio grande do sul state; southern brazil,subtropical shallow lake,,,vegetation_cover,10.0
55,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,30.8
56,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,26.3
57,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-3,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,28.0
58,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,46.0
59,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,91.7
60,hsu,biodiversity of constructed wetlands for wastewater treatment,dn1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,25.8
61,hsu,biodiversity of constructed wetlands for wastewater treatment,dn2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,43.2
62,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-a,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,27.2
63,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-b,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,34.8
64,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-c,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,136.1
65,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-d,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,82.6
66,hsu,biodiversity of constructed wetlands for wastewater treatment,dn4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,67.8
67,hsu,biodiversity of constructed wetlands for wastewater treatment,dn5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,chla,149.9
68,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.04
69,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.2
70,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-3,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.27
71,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.41
72,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.43
73,hsu,biodiversity of constructed wetlands for wastewater treatment,dn1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.24
74,hsu,biodiversity of constructed wetlands for wastewater treatment,dn2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.25
75,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-a,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.13
76,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-b,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.44
77,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-c,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.66
78,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-d,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.37
79,hsu,biodiversity of constructed wetlands for wastewater treatment,dn4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.38
80,hsu,biodiversity of constructed wetlands for wastewater treatment,dn5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,ph,7.85
81,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,1000.0
82,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,6000.0
83,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-3,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,5500.0
84,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,6000.0
85,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,6500.0
86,hsu,biodiversity of constructed wetlands for wastewater treatment,dn1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,2000.0
87,hsu,biodiversity of constructed wetlands for wastewater treatment,dn2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,6500.0
88,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-a,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,2600.0
89,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-b,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,6000.0
90,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-c,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,7500.0
91,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-d,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,2600.0
92,hsu,biodiversity of constructed wetlands for wastewater treatment,dn4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,15000.0
93,hsu,biodiversity of constructed wetlands for wastewater treatment,dn5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,surface_area,18600.0
94,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,19380.0
95,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,17300.0
96,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-3,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,18650.0
97,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,11120.0
98,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,13180.0
99,hsu,biodiversity of constructed wetlands for wastewater treatment,dn1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,18090.0
100,hsu,biodiversity of constructed wetlands for wastewater treatment,dn2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,14440.0
101,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-a,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,12450.0
102,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-b,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,10280.0
103,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-c,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,8810.0
104,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-d,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,9010.0
105,hsu,biodiversity of constructed wetlands for wastewater treatment,dn4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,11690.0
106,hsu,biodiversity of constructed wetlands for wastewater treatment,dn5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tn,8400.0
107,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,1300.0
108,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,1410.0
109,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-3,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,1140.0
110,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,950.0
111,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,820.0
112,hsu,biodiversity of constructed wetlands for wastewater treatment,dn1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,1080.0
113,hsu,biodiversity of constructed wetlands for wastewater treatment,dn2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,730.0
114,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-a,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,690.0
115,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-b,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,630.0
116,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-c,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,480.0
117,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-d,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,310.0
118,hsu,biodiversity of constructed wetlands for wastewater treatment,dn4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,600.0
119,hsu,biodiversity of constructed wetlands for wastewater treatment,dn5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,tp,470.0
120,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,20.0
121,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,65.0
122,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-3,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,35.0
123,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,60.0
124,hsu,biodiversity of constructed wetlands for wastewater treatment,hs2-5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,30.0
125,hsu,biodiversity of constructed wetlands for wastewater treatment,dn1,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,5.0
126,hsu,biodiversity of constructed wetlands for wastewater treatment,dn2,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,20.0
127,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-a,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,50.0
128,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-b,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,40.0
129,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-c,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,20.0
130,hsu,biodiversity of constructed wetlands for wastewater treatment,dn3-d,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,40.0
131,hsu,biodiversity of constructed wetlands for wastewater treatment,dn4,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,25.0
132,hsu,biodiversity of constructed wetlands for wastewater treatment,dn5,da-han river; taipei county; taiwan,treatment cells in constructed wetlands,,,vegetation_cover,20.0
133,onandia; gabriela; lischeid; gunnar; kalettka; thomas; kleeberg; andreas; omari; mohamed; premke; katrin; arhonditsis; george b.,biogeochemistry of natural ponds in agricultural landscape: lessons learned from modeling a kettle hole in northeast germany,rittgarten,uckermark; northeastern germany,kettle hole,,,max_depth,2.3
134,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,cap negre,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,0.49
135,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,sa mesquida,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,1.03
136,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,ets armaris,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,0.58
137,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,bassa verda des compte,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,0.91
138,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,pallisses,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,0.36
139,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,mal lloc,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,1.55
140,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,torrellafuda,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,1.65
141,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,bassa verda,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,1.4
142,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,binigafull,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,0.48
143,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,curniola,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,1.5
144,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,son morell,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,0.2
145,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,marina curniola,island of menorca; balearic islands in western mediterranean,temporary pond,,,max_depth,0.55
146,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,curniola,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,545.0
147,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,ets armaris,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,1945.0
148,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,bassa verda des compte,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,1045.0
149,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,pallisses,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,144.0
150,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,sa mesquida,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,242.0
151,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,marina curniola,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,44.0
152,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,mal lloc,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,481.0
153,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,son morell,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,201.0
154,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,binigafull,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,357.0
155,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,cap negre,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,98.0
156,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,torrellafuda,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,916.0
157,catalan; nuria; von schiller; daniel; marce; rafael; koschorreck; matthias; gomez-gener; lluis; obrador; biel,carbon dioxide efflux during the flooding phase of temporary ponds,bassa verda,island of menorca; balearic islands in western mediterranean,temporary pond,,,surface_area,208.0
