author,year,title,journal,citation,author_term,location,pondname,humanbuilt_manipulated,ponduse,landuse,managed,surfacewaterconnectivity,hydroperiod,min_depth_m,max_depth_m,mean_depth_m,min_surfacearea_m2,max_surfacearea_m2,mean_surfacearea_m2,fishpresence,macrophytespresence,macrophytes_percentcover,ph,turbidity_secchi_m,tss_mgpl,doc_mgpl,chla_ugpl,tp_ugpl,tn_ugpl,cond_uspcm
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,bollemose,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,4601,NA,NA,NA,7.8,NA,NA,NA,43.9,48,699,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,favrholm so,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,10476,NA,NA,NA,7.9,NA,NA,NA,20.7,67,819,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,fonstrup dam,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,6826,NA,NA,NA,7.4,NA,NA,NA,19.6,55,794,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,hesteskodam,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,5246,NA,NA,NA,7.5,NA,NA,NA,40.6,93,1332,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,karlso,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,29082,NA,NA,NA,7.3,NA,NA,NA,27,96,986,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,praestevang kirke so,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,6763,NA,NA,NA,7.6,NA,NA,NA,19,47,756,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,selskovsvej so,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,22876,NA,NA,NA,7.7,NA,NA,NA,14.9,82,963,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,sortedam,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,5028,NA,NA,NA,7.1,NA,NA,NA,38.7,109,1236,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,sortedam v. c. vej,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3942,NA,NA,NA,7.4,NA,NA,NA,12.3,70,585,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,spejldam,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3755,NA,NA,NA,7.8,NA,NA,NA,31.3,168,955,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,store funkedam,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,15643,NA,NA,NA,7.5,NA,NA,NA,8.1,25,577,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,strodam engso,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,175730,NA,NA,NA,7.9,NA,NA,NA,13.7,306,2489,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,teglgardsso,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,53177,NA,NA,NA,7.5,NA,NA,NA,21,54,954,NA
sand-jensen,2009,net heterotrophy in small danish lakes: a widespread feature over gradients in trophic status and land cover,ecosystems,Sand-Jensen Kaj & Staehr Peter. 2009. Net Heterotrophy in Small Danish Lakes: A Widespread Feature Over Gradients in Trophic Status and Land Cover. Ecosystems; 12: 336-348. ,lakes,north zealand; denmark,odam,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,31249,NA,NA,NA,8.1,NA,NA,NA,21.1,67,668,NA
barica,1974,some observations on internal recycling; regeneration and oscillation of dissolved nitrogen and phosphorus in shallow self-contained lakes,archiv fur hydrobiologie,Barica Jan. 1974. Some Observations on Internal Recycling Regeneration and Oscillation of Dissolved Nitrogen and Phosphorus in Shallow Self-contained Lakes. Archiv Fur Hydrobiologie. 73(3): 334-360.,lake,erickson; manitoba; canada,885,y,fisheries,forested,y,isolated,perennial,NA,2.7,NA,NA,NA,24000,y,NA,NA,8.6,1.7,NA,39.4,691,NA,NA,1433
barica,1974,some observations on internal recycling; regeneration and oscillation of dissolved nitrogen and phosphorus in shallow self-contained lakes,archiv fur hydrobiologie,Barica Jan. 1974. Some Observations on Internal Recycling Regeneration and Oscillation of Dissolved Nitrogen and Phosphorus in Shallow Self-contained Lakes. Archiv Fur Hydrobiologie. 73(3): 334-360.,lake,erickson; manitoba; canada,154,y,fisheries,forested,y,isolated,perennial,NA,4.65,NA,NA,NA,92000,y,NA,NA,8.4,2.2,NA,26.5,114,NA,NA,7807
barica,1974,some observations on internal recycling; regeneration and oscillation of dissolved nitrogen and phosphorus in shallow self-contained lakes,archiv fur hydrobiologie,Barica Jan. 1974. Some Observations on Internal Recycling Regeneration and Oscillation of Dissolved Nitrogen and Phosphorus in Shallow Self-contained Lakes. Archiv Fur Hydrobiologie. 73(3): 334-360.,lake,erickson; manitoba; canada,302,y,fisheries,forested,y,isolated,perennial,NA,4.9,NA,NA,NA,173000,y,NA,NA,8.4,2.6,NA,51.5,59,NA,NA,1321
barica,1974,some observations on internal recycling; regeneration and oscillation of dissolved nitrogen and phosphorus in shallow self-contained lakes,archiv fur hydrobiologie,Barica Jan. 1974. Some Observations on Internal Recycling Regeneration and Oscillation of Dissolved Nitrogen and Phosphorus in Shallow Self-contained Lakes. Archiv Fur Hydrobiologie. 73(3): 334-360.,lake,erickson; manitoba; canada,255,y,fisheries,forested,y,isolated,perennial,NA,2.65,NA,NA,NA,28000,y,NA,NA,8.2,1.8,NA,18.6,13,NA,NA,929
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst1,y,NA,NA,NA,NA,NA,NA,0.7,NA,NA,32,NA,NA,y,NA,7.2,NA,NA,NA,0.86,NA,NA,144
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst2,y,NA,NA,NA,NA,NA,NA,1.5,NA,NA,177,NA,NA,y,NA,6.3,NA,NA,NA,27.11,NA,NA,195
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst3,y,NA,NA,NA,NA,NA,NA,0.3,NA,NA,65,NA,NA,y,NA,6.5,NA,NA,NA,9.24,NA,NA,367
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst4,y,NA,NA,NA,NA,NA,NA,1.2,NA,NA,130,NA,NA,y,NA,6.9,NA,NA,NA,36.33,NA,NA,167
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst5,y,NA,NA,NA,NA,NA,NA,3.3,NA,NA,79,NA,NA,y,NA,6.4,NA,NA,NA,58.38,NA,NA,290
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst6,y,NA,NA,NA,NA,NA,NA,0.4,NA,NA,127,NA,NA,y,NA,6.5,NA,NA,NA,35.03,NA,NA,305
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst7,y,NA,NA,NA,NA,NA,NA,0.8,NA,NA,213,NA,NA,y,NA,6.1,NA,NA,NA,116.76,NA,NA,66
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst8,y,NA,NA,NA,NA,NA,NA,0.2,NA,NA,28,NA,NA,y,NA,6,NA,NA,NA,6.81,NA,NA,202
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst9,y,NA,NA,NA,NA,NA,NA,1.3,NA,NA,603,NA,NA,y,NA,6,NA,NA,NA,157.6,NA,NA,300
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst10,y,NA,NA,NA,NA,NA,NA,0.6,NA,NA,85,NA,NA,y,NA,6.4,NA,NA,NA,22.87,NA,NA,209
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst11,y,NA,NA,NA,NA,NA,NA,3,NA,NA,745,NA,NA,y,NA,7,NA,NA,NA,16.97,NA,NA,132
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst12,y,NA,NA,NA,NA,NA,NA,0.7,NA,NA,9,NA,NA,y,NA,7.2,NA,NA,NA,0.95,NA,NA,212
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst13,y,NA,NA,NA,NA,NA,NA,0.5,NA,NA,52,NA,NA,y,NA,8.2,NA,NA,NA,708.07,NA,NA,124
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst14,y,NA,NA,NA,NA,NA,NA,0.4,NA,NA,35,NA,NA,y,NA,6.9,NA,NA,NA,4.87,NA,NA,138
zelnik; igor; potisek; mateja; gaberscik; alenka,2012,environmental conditions and macrophytes of karst ponds,polish journal of environmental studies,Zelnik Igor; Potisek Mateja;  Gaberscik Alenka. 2012. Environmental Conditions and Macrophytes of Karst Ponds. Polish Journal of Environmental Studies; 21: 1911-1920. ,karst pond,southwest slovenia,karst15,y,NA,NA,NA,NA,NA,NA,0.5,NA,NA,547,NA,NA,y,NA,6.5,NA,NA,NA,311.36,NA,NA,188
