author,title,name,location,ecosystem,date,state,attribute,value
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst15,southwest slovenia,karst pond,,,max_depth,0.5
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst16,southwest slovenia,karst pond,,,max_depth,0.6
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst17,southwest slovenia,karst pond,,,max_depth,1.0
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst18,southwest slovenia,karst pond,,,max_depth,1.1
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst19,southwest slovenia,karst pond,,,max_depth,0.3
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst20,southwest slovenia,karst pond,,,max_depth,0.2
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst21,southwest slovenia,karst pond,,,max_depth,0.3
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst22,southwest slovenia,karst pond,,,max_depth,0.9
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst23,southwest slovenia,karst pond,,,max_depth,2.6
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst24,southwest slovenia,karst pond,,,max_depth,2.2
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst25,southwest slovenia,karst pond,,,max_depth,1.0
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst26,southwest slovenia,karst pond,,,max_depth,0.9
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst27,southwest slovenia,karst pond,,,max_depth,0.3
zelnik; igor; potisek; mateja; gaberscik; alenka,environmental conditions and macrophytes of karst ponds,karst28,southwest slovenia,karst pond,,,max_depth,1.3
chaichana; ratcha; leah; rick; moss; brian,conservation of pond systems: a case study of intractability; brown moss; uk,pool1,northwest england,pool,,,max_depth,0.261
chaichana; ratcha; leah; rick; moss; brian,conservation of pond systems: a case study of intractability; brown moss; uk,pool2,northwest england,pool,,,max_depth,0.286
chaichana; ratcha; leah; rick; moss; brian,conservation of pond systems: a case study of intractability; brown moss; uk,pool3,northwest england,pool,,,max_depth,0.27
chaichana; ratcha; leah; rick; moss; brian,conservation of pond systems: a case study of intractability; brown moss; uk,pool4,northwest england,pool,,,max_depth,0.328
chaichana; ratcha; leah; rick; moss; brian,conservation of pond systems: a case study of intractability; brown moss; uk,pool6,northwest england,pool,,,max_depth,0.31
chaichana; ratcha; leah; rick; moss; brian,conservation of pond systems: a case study of intractability; brown moss; uk,pool7,northwest england,pool,,,max_depth,0.26
chaichana; ratcha; leah; rick; moss; brian,conservation of pond systems: a case study of intractability; brown moss; uk,pool10,northwest england,pool,,,max_depth,0.162
chaichana; ratcha; leah; rick; moss; brian,conservation of pond systems: a case study of intractability; brown moss; uk,pool11,northwest england,pool,,,max_depth,0.133
chaichana; ratcha; leah; rick; moss; brian,conservation of pond systems: a case study of intractability; brown moss; uk,pool12,northwest england,pool,,,max_depth,0.247
chaichana; ratcha; leah; rick; moss; brian,conservation of pond systems: a case study of intractability; brown moss; uk,pool14,northwest england,pool,,,max_depth,0.534
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,3fnt,belgium,pond,,,max_depth,0.4
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,bcmb,belgium,pond,,,max_depth,0.8
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,beml,belgium,pond,,,max_depth,1.0
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,blkd,belgium,pond,,,max_depth,1.4
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,botn,belgium,pond,,,max_depth,0.8
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,brpk,belgium,pond,,,max_depth,0.7
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,ckrv,belgium,pond,,,max_depth,0.7
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,dens,belgium,pond,,,max_depth,0.7
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,esec,belgium,pond,,,max_depth,0.6
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,hoef,belgium,pond,,,max_depth,0.8
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,hrt1,belgium,pond,,,max_depth,1.1
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,hrt1,belgium,pond,,,max_depth,1.5
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,ixp1,belgium,pond,,,max_depth,1.7
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,ixp2,belgium,pond,,,max_depth,1.3
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,leyb-a,belgium,pond,,,max_depth,0.6
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,leyb-b,belgium,pond,,,max_depth,0.8
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,malu,belgium,pond,,,max_depth,1.8
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,mlgr,belgium,pond,,,max_depth,1.2
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,mlkl,belgium,pond,,,max_depth,0.9
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,mrcn,belgium,pond,,,max_depth,0.5
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,nrpd1,belgium,pond,,,max_depth,0.9
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,nrpd2,belgium,pond,,,max_depth,0.5
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,nrpd4,belgium,pond,,,max_depth,0.7
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,pchr,belgium,pond,,,max_depth,1.0
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,plbs,belgium,pond,,,max_depth,1.5
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,prb1,belgium,pond,,,max_depth,1.2
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,prb2,belgium,pond,,,max_depth,0.8
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,prm2,belgium,pond,,,max_depth,1.1
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,rkl2,belgium,pond,,,max_depth,2.0
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,rkl3,belgium,pond,,,max_depth,2.9
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,rkl4,belgium,pond,,,max_depth,1.3
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,rkl5,belgium,pond,,,max_depth,0.8
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,sbsk,belgium,pond,,,max_depth,0.8
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,sclm,belgium,pond,,,max_depth,1.2
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,silx,belgium,pond,,,max_depth,1.2
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,tenr,belgium,pond,,,max_depth,1.3
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,trbr,belgium,pond,,,max_depth,1.1
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,trcg,belgium,pond,,,max_depth,1.1
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,trln,belgium,pond,,,max_depth,0.8
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,trsg,belgium,pond,,,max_depth,1.4
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,trsp,belgium,pond,,,max_depth,0.6
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,vbk1,belgium,pond,,,max_depth,1.2
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,vbk2,belgium,pond,,,max_depth,1.4
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,vkn1,belgium,pond,,,max_depth,1.2
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,vkn2,belgium,pond,,,max_depth,1.0
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,wpk1,belgium,pond,,,max_depth,1.1
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,wpk2,belgium,pond,,,max_depth,1.1
peretyatko; anatoly; teissier; samuel; de backer; sylvia; triest; ludwig,classification trees as a tool for predicting cyanobacterial blooms,wtml,belgium,pond,,,max_depth,1.1
pietruszynski; lukasz; budzisz; marta; cieslinski; roman,water quality assessment of moraine ponds and their role in water ecosystem of selected catchment area of the kashubian lake district,zbiornik2,poland,zbiornik(pond),,,max_depth,1.9
pietruszynski; lukasz; budzisz; marta; cieslinski; roman,water quality assessment of moraine ponds and their role in water ecosystem of selected catchment area of the kashubian lake district,zbiornik4,poland,zbiornik(pond),,,max_depth,3.4
pietruszynski; lukasz; budzisz; marta; cieslinski; roman,water quality assessment of moraine ponds and their role in water ecosystem of selected catchment area of the kashubian lake district,zbiornik5,poland,zbiornik(pond),,,max_depth,3.3
pietruszynski; lukasz; budzisz; marta; cieslinski; roman,water quality assessment of moraine ponds and their role in water ecosystem of selected catchment area of the kashubian lake district,zbiornik6,poland,zbiornik(pond),,,max_depth,2.1
pietruszynski; lukasz; budzisz; marta; cieslinski; roman,water quality assessment of moraine ponds and their role in water ecosystem of selected catchment area of the kashubian lake district,zbiornik7,poland,zbiornik(pond),,,max_depth,2.2
pietruszynski; lukasz; budzisz; marta; cieslinski; roman,water quality assessment of moraine ponds and their role in water ecosystem of selected catchment area of the kashubian lake district,zbiornik8,poland,zbiornik(pond),,,max_depth,2.0
pietruszynski; lukasz; budzisz; marta; cieslinski; roman,water quality assessment of moraine ponds and their role in water ecosystem of selected catchment area of the kashubian lake district,zbiornik9,poland,zbiornik(pond),,,max_depth,1.5
tonn & magnuson,patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,blueberry,northern wisconsin,small lakes,,,max_depth,8.2
tonn & magnuson,patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,camp 2,northern wisconsin,small lakes,,,max_depth,1.5
tonn & magnuson,patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,gateway,northern wisconsin,small lakes,,,max_depth,2.4
tonn & magnuson,patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,johnson,northern wisconsin,small lakes,,,max_depth,3.6
tonn & magnuson,patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,maple,northern wisconsin,small lakes,,,max_depth,4.3
tonn & magnuson,patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,mystery,northern wisconsin,small lakes,,,max_depth,2.1
tonn & magnuson,patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,spruce,northern wisconsin,small lakes,,,max_depth,4.9
tonn & magnuson,patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,whynot,northern wisconsin,small lakes,,,max_depth,5.8
tonn & magnuson,patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,Jun-33,northern wisconsin,small lakes,,,max_depth,3.3
tonn & magnuson,patterns in the species composition and richness of fish assemblages in northern wisconsin lakes,33-13,northern wisconsin,small lakes,,,max_depth,3.0
yan,regulation of zooplankton community structure of an acidified lake by chaoborus,swan lake,ontario; canada,small lake,,,max_depth,8.8
pont; crivelli & guillot,the impact of 3-spined sticklebacks on the zooplankton of a previously fish-free pool,la fangouse,camargue; france,other,,,max_depth,0.55
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,a,isle of purbeck; dorset; uk,pond,,,max_depth,3.0
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,b,isle of purbeck; dorset; uk,pond,,,max_depth,3.0
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,c,isle of purbeck; dorset; uk,pond,,,max_depth,3.0
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,d,isle of purbeck; dorset; uk,pond,,,max_depth,2.0
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,e,isle of purbeck; dorset; uk,pond,,,max_depth,3.0
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,g,isle of purbeck; dorset; uk,pond,,,max_depth,5.0
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,h,isle of purbeck; dorset; uk,pond,,,max_depth,7.0
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,j,isle of purbeck; dorset; uk,pond,,,max_depth,6.5
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,k,isle of purbeck; dorset; uk,pond,,,max_depth,4.5
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,l,isle of purbeck; dorset; uk,pond,,,max_depth,4.5
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,m,isle of purbeck; dorset; uk,pond,,,max_depth,4.5
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,n,isle of purbeck; dorset; uk,pond,,,max_depth,2.5
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,p,isle of purbeck; dorset; uk,pond,,,max_depth,4.5
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,q,isle of purbeck; dorset; uk,pond,,,max_depth,7.0
friday,the diversity of macroinvertebrate and macrophyte communities in ponds,r,isle of purbeck; dorset; uk,pond,,,max_depth,2.5
chopyk et al.,agricultural freshwater pond supports diverse and dynamic bacterial and viral populations,,central maryland; usa,ponds,,,max_depth,3.35
hobbs; joy m. ramstack; hobbs; william o.; edlund; mark b.; zimmer; kyle d.; theissen; kevin m.; hoidal; natalie; domine; leah m.; hanson; mark a.; herwig; brian r.; cotner; james b.,the legacy of large regime shifts in shallow lakes,blakesley,prairie pothole region; minnesota; usa,shallow lake,,,max_depth,2.0
hobbs; joy m. ramstack; hobbs; william o.; edlund; mark b.; zimmer; kyle d.; theissen; kevin m.; hoidal; natalie; domine; leah m.; hanson; mark a.; herwig; brian r.; cotner; james b.,the legacy of large regime shifts in shallow lakes,grandokken,prairie pothole region; minnesota; usa,shallow lake,,,max_depth,1.6
hobbs; joy m. ramstack; hobbs; william o.; edlund; mark b.; zimmer; kyle d.; theissen; kevin m.; hoidal; natalie; domine; leah m.; hanson; mark a.; herwig; brian r.; cotner; james b.,the legacy of large regime shifts in shallow lakes,pisa,prairie pothole region; minnesota; usa,shallow lake,,,max_depth,1.4
hobbs; joy m. ramstack; hobbs; william o.; edlund; mark b.; zimmer; kyle d.; theissen; kevin m.; hoidal; natalie; domine; leah m.; hanson; mark a.; herwig; brian r.; cotner; james b.,the legacy of large regime shifts in shallow lakes,skunk,prairie pothole region; minnesota; usa,shallow lake,,,max_depth,1.4
hobbs; joy m. ramstack; hobbs; william o.; edlund; mark b.; zimmer; kyle d.; theissen; kevin m.; hoidal; natalie; domine; leah m.; hanson; mark a.; herwig; brian r.; cotner; james b.,the legacy of large regime shifts in shallow lakes,morrison,prairie pothole region; minnesota; usa,shallow lake,,,max_depth,2.9
hobbs; joy m. ramstack; hobbs; william o.; edlund; mark b.; zimmer; kyle d.; theissen; kevin m.; hoidal; natalie; domine; leah m.; hanson; mark a.; herwig; brian r.; cotner; james b.,the legacy of large regime shifts in shallow lakes,org,prairie pothole region; minnesota; usa,shallow lake,,,max_depth,3.5
hobbs; joy m. ramstack; hobbs; william o.; edlund; mark b.; zimmer; kyle d.; theissen; kevin m.; hoidal; natalie; domine; leah m.; hanson; mark a.; herwig; brian r.; cotner; james b.,the legacy of large regime shifts in shallow lakes,bellevue,prairie pothole region; minnesota; usa,shallow lake,,,max_depth,2.3
hobbs; joy m. ramstack; hobbs; william o.; edlund; mark b.; zimmer; kyle d.; theissen; kevin m.; hoidal; natalie; domine; leah m.; hanson; mark a.; herwig; brian r.; cotner; james b.,the legacy of large regime shifts in shallow lakes,leverson,prairie pothole region; minnesota; usa,shallow lake,,,max_depth,2.0
hobbs; joy m. ramstack; hobbs; william o.; edlund; mark b.; zimmer; kyle d.; theissen; kevin m.; hoidal; natalie; domine; leah m.; hanson; mark a.; herwig; brian r.; cotner; james b.,the legacy of large regime shifts in shallow lakes,mavis west,prairie pothole region; minnesota; usa,shallow lake,,,max_depth,4.8
hobbs; joy m. ramstack; hobbs; william o.; edlund; mark b.; zimmer; kyle d.; theissen; kevin m.; hoidal; natalie; domine; leah m.; hanson; mark a.; herwig; brian r.; cotner; james b.,the legacy of large regime shifts in shallow lakes,frolund,prairie pothole region; minnesota; usa,shallow lake,,,max_depth,2.3
west; william e.; creamer; kevin p.; jones; stuart e.,productivity and depth regulate lake contributions to atmospheric methane,bolger,land o lakes; wisconsin; usa,lake,,,max_depth,3.5
west; william e.; creamer; kevin p.; jones; stuart e.,productivity and depth regulate lake contributions to atmospheric methane,cranberry,land o lakes; wisconsin; usa,lake,,,max_depth,7.9
west; william e.; creamer; kevin p.; jones; stuart e.,productivity and depth regulate lake contributions to atmospheric methane,foggy,land o lakes; wisconsin; usa,lake,,,max_depth,1.8
west; william e.; creamer; kevin p.; jones; stuart e.,productivity and depth regulate lake contributions to atmospheric methane,hummingbird,land o lakes; wisconsin; usa,lake,,,max_depth,7.6
west; william e.; creamer; kevin p.; jones; stuart e.,productivity and depth regulate lake contributions to atmospheric methane,morris,land o lakes; wisconsin; usa,lake,,,max_depth,6.7
west; william e.; creamer; kevin p.; jones; stuart e.,productivity and depth regulate lake contributions to atmospheric methane,north gate,land o lakes; wisconsin; usa,lake,,,max_depth,8.0
west; william e.; creamer; kevin p.; jones; stuart e.,productivity and depth regulate lake contributions to atmospheric methane,raspberry,land o lakes; wisconsin; usa,lake,,,max_depth,6.1
sisson,seed bank and seasonal patterns of the eukaryotic sar (stramenopila alveolata and rhizaria) clade in a new england vernal pool,massachusetts certified vernal pool 3391,massachusetts; usa,vernal pool,,,max_depth,0.3
sager,measuring the trophic status of ponds: relationships between summer rate of periphytic net primary productivity and water physico-chemistry,p1,swiss plateau; switzerland,permenant pond,,,max_depth,1.0
sager,measuring the trophic status of ponds: relationships between summer rate of periphytic net primary productivity and water physico-chemistry,p2,swiss plateau; switzerland,permenant pond,,,max_depth,1.4
sager,measuring the trophic status of ponds: relationships between summer rate of periphytic net primary productivity and water physico-chemistry,p3,swiss plateau; switzerland,permenant pond,,,max_depth,1.0
sager,measuring the trophic status of ponds: relationships between summer rate of periphytic net primary productivity and water physico-chemistry,p4,swiss plateau; switzerland,permenant pond,,,max_depth,0.7
sager,measuring the trophic status of ponds: relationships between summer rate of periphytic net primary productivity and water physico-chemistry,p5,swiss plateau; switzerland,permenant pond,,,max_depth,0.9
sager,measuring the trophic status of ponds: relationships between summer rate of periphytic net primary productivity and water physico-chemistry,p6,swiss plateau; switzerland,permenant pond,,,max_depth,1.0
sager,measuring the trophic status of ponds: relationships between summer rate of periphytic net primary productivity and water physico-chemistry,p7,swiss plateau; switzerland,permenant pond,,,max_depth,1.0
sager,measuring the trophic status of ponds: relationships between summer rate of periphytic net primary productivity and water physico-chemistry,p8,swiss plateau; switzerland,permenant pond,,,max_depth,0.9
sager,measuring the trophic status of ponds: relationships between summer rate of periphytic net primary productivity and water physico-chemistry,p9,swiss plateau; switzerland,permenant pond,,,max_depth,1.2
liefert et al.,why are some rocky mountain lakes ephemeral?,jeep lake,a single watershed in the snowy range; a sw to ne trending subsection of themedicine bowmountains; extending ~160 kmin the central rockymountains from northern colorado to southern wyoming,lake,,,max_depth,2.1
liefert et al.,why are some rocky mountain lakes ephemeral?,fishhood lake,a single watershed in the snowy range; a sw to ne trending subsection of themedicine bowmountains; extending ~160 kmin the central rockymountains from northern colorado to southern wyoming,lake,,,max_depth,1.89
liefert et al.,why are some rocky mountain lakes ephemeral?,round lake,a single watershed in the snowy range; a sw to ne trending subsection of themedicine bowmountains; extending ~160 kmin the central rockymountains from northern colorado to southern wyoming,lake,,,max_depth,2.24
liefert et al.,why are some rocky mountain lakes ephemeral?,highway 130 lake,a single watershed in the snowy range; a sw to ne trending subsection of themedicine bowmountains; extending ~160 kmin the central rockymountains from northern colorado to southern wyoming,lake,,,max_depth,2.04
cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,evv upper lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,max_depth,5.5
cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,evv lower lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,max_depth,4.5
cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,teardrop lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,max_depth,5.25
cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,potentilla lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,max_depth,8.0
cadieux et al.,exceptional summer warming leads to contrasting outcomes for methane cycling in small arctic lakes of greenland,south twin lake,area between the village of kangerlussuaq; greenland; at the head of sndre strmfjord and the active terminus of the russell glacier,small (< 10 km2) seasonally ice-covered arctic lakes,,,max_depth,5.5
markova et al.,daphnia diversity in water bodies of the po river basin,pastore iii,cremona province; lombardy; northern italy,pools and ponds; bodri (italian term),,,max_depth,6.3
