COLUMN_NAME	SAMPLE_TYPE	UNITS	LABEL	FORMABBR	VAR_TYPE	RANGE_HIGH	RANGE_LOW	LEGAL_VALUES	METRIC_TYPE
FQAI_FREQ_NAT	PLANT	NA	"Proportional frequency-weighted Floristic Quality Index with native species only. Sum(pijCCij)/sqrt(N) where CCij is coefficient of conservatism for species i at site j, pij is weight for CC for species i at site j, N is number of species."			NA	0		Condition
FQAI_NAT	PLANT	NA	"Floristic Quality Index  with native species only. Sum(CC)/sqrt(N) where CC is coefficient of conservatism, N is number of species"			NA	0		Condition
FREQ_ALGAE	VEGTYPE	NA	Frequency of filamentous or mat forming algae			100	0		Condition
FREQ_ARBOREAL	VEGTYPE	NA	Frequency of rboreal Bryophytes and  Lichens			100	0		Condition
FREQ_BAREGD	GROUND	NA	Frequency of bareground			NA	0		Condition
FREQ_BRYOPHYTES	VEGTYPE	NA	"Frequency of byrophytes growing on ground surfaces, logs, rocks, etc."			100	0		Condition
FREQ_EXPOSED_GRAVEL	GROUND	NA	Frequency exposed gravel/cobble (~2mm to 25cm)			NA	0		Condition
FREQ_EXPOSED_ROCK	GROUND	NA	Frequency exposed rock (> 25cm)			NA	0		Condition
FREQ_EXPOSED_SOIL	GROUND	NA	Frequency exposed soil/sediment			NA	0		Condition
FREQ_FLOATING_AQ	VEGTYPE	NA	Frequency Floating Aquatic Vegetation			100	0		Condition
FREQ_H2O	GROUND	NA	Frequency of occurrence of water across 100-m2 plots			NA	0		Condition
FREQ_H2O_AQVEG	GROUND	NA	Frequency of occurrence of water and floating/submerged aquatic vegetation			NA	0		Condition
FREQ_H2O_EMERGVEG	GROUND	NA	Frequency of occurrence ofwater and emergent and/or woody vegetation			NA	0		Condition
FREQ_H2O_NOVEG	GROUND	NA	Frequency of occurrence of water and no vegetation			NA	0		Condition
FREQ_HMED_TREE	TREE	NA	"Frequency (proportion of plots) of HMED,  trees  > 5m to 15m tall"			100	0		Condition
FREQ_HMED_VEG	VEGTYPE	NA	Frequency Vegetation > 5m to 15m tall			100	0		Condition
FREQ_LIANAS	VEGTYPE	NA	"Frequency Lianas, vines, and vascular epiphytes"			100	0		Condition
FREQ_LICHENS	VEGTYPE	NA	"Frequency of lichens growing on ground surfaces, logs, rocks, etc."			100	0		Condition
FREQ_LITTER	GROUND	NA	Frequency of litter			NA	0		Condition
FREQ_LMED_TREE	TREE	NA	"Frequency (proportion of plots) of LMED trees, trees > 2 to 5m tall"			100	0		Condition
FREQ_MACROALGAE	VEGTYPE	NA	Macroalgae (freshwater species/seaweeds)			100	0		Condition
FREQ_MED_VEG	VEGTYPE	NA	Frequency Vegetation  >2m to 5 tall			100	0		Condition
FREQ_PEAT_MOSS_DOM	VEGTYPE	NA	Frequency of plots where bryophytes are dominated by Sphagnum or other peat forming moss			100	0		Condition
FREQ_SMALL_TREE	TREE	NA	"Frequency (proportion of plots) of SMALL trees, trees 0.5m to 2m tall"			100	0		Condition
FREQ_SMALL_VEG	VEGTYPE	NA	Frequency Vegetation 0.5 to 2m tall			100	0		Condition
FREQ_SUBMERGED_AQ	VEGTYPE	NA	Frequency Submerged Aquatic Vegetation across 5 plots			100	0		Condition
FREQ_TALL_TREE	TREE	NA	"Frequency (proportion of plots) of TALL trees,  trees > 15m  to 30m tall"			100	0		Condition
FREQ_TALL_VEG	VEGTYPE	NA	Frequency Vegetation > 15m to 30m tall			100	0		Condition
FREQ_TREE_GROUND	TREE	NA	"Frequency (proportion of plots) of ground layer trees, trees < 2m"			100	0		Condition
FREQ_TREE_MID	TREE	NA	"Frequency (proportion of plots) of  subcanopy, trees  2m-15m tall"			100	0		Condition
FREQ_TREE_UPPER	TREE	NA	"Frequency (proportion of plots) of CANOPY trees, trees  >15m"			100	0		Condition
FREQ_VSMALL_TREE	TREE	NA	"Frequency (proportion of plots) of VSMALL trees,  trees < 0.5m tall"			100	0		Condition
FREQ_VSMALL_VEG	VEGTYPE	NA	Frequency Vegetation < 0.5m tall			100	0		Condition
FREQ_VTALL_TREE	TREE	NA	"Frequency (proportion of plots) of VTALL trees, trees > 30m tall"			100	0		Condition
FREQ_VTALL_VEG	VEGTYPE	NA	Frequency Vegetation > 30m tall			100	0		Condition
FREQ_WD_COARSE	GROUND	NA	Frequency of coarse woody debris (> 5cm diameter)			NA	0		Condition
FREQ_WD_FINE	GROUND	NA	Frequency of fine woody debris (< 5cm diameter)			NA	0		Condition
H_AC	PLANT	NA	"Shannon-Wiener Diversity Index - alien + cryptogenic species. H' = -1*sum(pi*ln(pi)), where pi is proportion of species i"			NA	0		Stressor
H_ALIEN	PLANT	NA	"Shannon-Wiener Diversity Index - alien species. H' = -1*sum(pi*ln(pi)), where pi is proportion of species i"			NA	0		Stressor
H_ALL	PLANT	NA	"Shannon-Wiener Diversity Index  - All species. H' = -1*sum(pi*ln(pi)), where pi is proportion of species i"			NA	0		Condition
H_NAT	PLANT	NA	"Shannon-Wiener Diversity Index - native species only. H' = -1*sum(pi*ln(pi)), where pi is proportion of species i"			NA	0		Condition
H_SANDT	VEGTYPE	NA	"Shannon-Wiener - Heterogeneity of S&T Types in AA. H' = -1*sum(pi*ln(pi)), where pi is proportion of sampled plots with class i."			NA	0		Condition
H_VASC_STRATA	VEGTYPE	NA	"Shannon-Wiener - Heterogeneity of  Vertical Vascular Structure in AA based on occurrence and relative cover of all strata in all plots. H' = -1*sum(pi*ln(pi)), where pi is relative cover of vegetation stratum i."			NA	0		Condition
IMP_ALGAE	VEGTYPE	NA	Importance ((FREQ + XCOV)/2) of filamentous or mat forming algae			NA	0		Condition
IMP_ARBOREAL	VEGTYPE	NA	Importance ((FREQ + XCOV)/2) of arboreal bryophytes and  lichens			NA	0		Condition
IMP_BAREGD	GROUND	NA	Importance  ((FREQ + XCOV)/2) of bareground			NA	0		Condition
IMP_BRYOPHYTES	VEGTYPE	NA	"Importance ((FREQ + XCOV)/2) of bryophytes growing on ground surfaces, logs, rocks, etc."			NA	0		Condition
IMP_EXPOSED_GRAVEL	GROUND	NA	Importance ((FREQ + XCOV)/2) exposed gravel/cobble (~2mm to 25cm)			NA	0		Condition
IMP_EXPOSED_ROCK	GROUND	NA	Importance ((FREQ + XCOV)/2) exposed rock (> 25cm)			NA	0		Condition
IMP_EXPOSED_SOIL	GROUND	NA	Importance ((FREQ + XCOV)/2) exposed soil/sediment			NA	0		Condition
IMP_FLOATING_AQ	VEGTYPE	NA	Importance ((FREQ + XCOV)/2) Floating Aquatic Vegetation			NA	0		Condition
IMP_H2O	GROUND	NA	Importance ((FREQ_H2O + XCOV_H2O)/2)Total cover of water (percent of Veg Plot area with water = a+b+c â‰¤ 100%)			NA	0		Condition
IMP_H2O_AQVEG	GROUND	NA	Importance ((FREQ_H2O_AQVEG + XCOV_H2O_AQVEG)/2) of b) % Veg Plot area with water and floating/submerged aquatic vegetation			NA	0		Condition
IMP_H2O_EMERGVEG	GROUND	NA	Importance ((FREQ_H2O_EMERGVEG + XCOV_H2O_EMERGVEG)/2) of c) % Veg Plot area with water and emergent and/or woody vegetation			NA	0		Condition
IMP_H2O_NOVEG	GROUND	NA	Importance ((FREQ_H2O_NOVEG + XCOV_H2O_NOVEG)/2) of a) % Veg Plot area with water and no vegetation			NA	0		Condition
IMP_HMED_TREE	TREE	NA	"Importance  of HMED,  trees  > 5m to 15m tall"			NA	0		Condition
IMP_HMED_VEG	VEGTYPE	NA	Importance ((FREQ + XCOV)/2) Vegetation > 5m to 15m tall			NA	0		Condition
IMP_LIANAS	VEGTYPE	NA	"Importance  ((FREQ + XCOV)/2) Lianas, vines, and vascular epiphytes"			NA	0		Condition
IMP_LICHENS	VEGTYPE	NA	"Importance ((FREQ + XCOV)/2) of lichens growing on ground surfaces, logs, rocks, etc."			NA	0		Condition
IMP_LITTER	GROUND	NA	Importance ((FREQ + XCOV)/2) of litter			NA	0		Condition
IMP_LMED_TREE	TREE	NA	"Importance  of LMED trees, trees > 2 to 5m tall"			NA	0		Condition
IMP_MACROALGAE	VEGTYPE	NA	Importance ((FREQ + XCOV)/2) of macroalgae (freshwater species/seaweeds)			NA	0		Condition
IMP_MED_VEG	VEGTYPE	NA	Importance ((FREQ + XCOV)/2) Vegetation  >2m to 5 tall			NA	0		Condition
IMP_SMALL_TREE	TREE	NA	"Importance  of SMALL trees, trees 0.5m to 2m tall"			NA	0		Condition
IMP_SMALL_VEG	VEGTYPE	NA	Importance ((FREQ + XCOV)/2) Vegetation 0.5 to 2m tall			NA	0		Condition
IMP_SUBMERGED_AQ	VEGTYPE	NA	Importance  ((FREQ + XCOV)/2) Submerged Aquatic Vegetation			NA	0		Condition
IMP_TALL_TREE	TREE	NA	"Importance  of TALL trees,  trees > 15m  to 30m tall"			NA	0		Condition
IMP_TALL_VEG	VEGTYPE	NA	Importance ((FREQ + XCOV)/2) Vegetation > 15m to 30m tall			NA	0		Condition
IMP_TREE_GROUND	TREE	NA	"Importance  of ground layer trees, trees < 2m"			NA	0		Condition
IMP_TREE_MID	TREE	NA	"Importance  of  subcanopy, trees  2m-15m tall"			NA	0		Condition
IMP_TREE_UPPER	TREE	NA	"Importance  of CANOPY trees, trees  >15m"			NA	0		Condition
IMP_VSMALL_TREE	TREE	NA	"Importance  of VSMALL trees,  trees < 0.5m tall"			NA	0		Condition
IMP_VSMALL_VEG	VEGTYPE	NA	Importance ((FREQ + XCOV)/2) Vegetation < 0.5m tall			NA	0		Condition
IMP_VTALL_TREE	TREE	NA	"Importance  of VTALL trees, trees > 30m tall"			NA	0		Condition
IMP_VTALL_VEG	VEGTYPE	NA	Importance ((FREQ + XCOV)/2) Vegetation > 30m tall			NA	0		Condition
IMP_WD_COARSE	GROUND	NA	Importance ((FREQ + XCOV)/2) of coarse woody debris (> 5cm diameter)			NA	0		Condition
IMP_WD_FINE	GROUND	NA	Importance ((FREQ + XCOV)/2) of fine woody debris (< 5cm diameter)			NA	0		Condition
J_AC	PLANT	NA	"Eveness (Pielou) - alien + cryptogenic species. J = H'/ln(S), where S is number of species observed"			NA	0		Stressor
J_ALIEN	PLANT	NA	"Eveness (Pielou) - alien species only. J = H'/ln(S), where S is number of species observed"			NA	0		Stressor
J_ALL	PLANT	NA	"Eveness (Pielou) - All species. J = H'/ln(S), where S is number of species observed"			NA	0		Condition
J_NAT	PLANT	NA	"Eveness (Pielou) - native species only. J = H'/ln(S), where S is number of species observed"			NA	0		Condition
J_SANDT	VEGTYPE	NA	"Pielou Eveness - Heterogeneity of S&T Classes in AA. J = H'/ln(S), where H' is Shannon-Wiener diversity and S is number of classes at site."			NA	0		Condition
J_VASC_STRATA	VEGTYPE	NA	"Pielou Evenness - Heterogeneity of  Vertical Vascular Structure in AA based on occurrence and relative cover of all strata in all plots. J = H'/ln(S), where H' is Shannon-Wiener diversity and S is number of vegetation strata at site."			NA	0		Condition
LITTER_TYPE	GROUND	NA	Predominant litter type			NA	NA		Condition
MAX_COV_H2O	GROUND	NA	Maximum Total cover of water			NA	0		Condition
MAX_H2O_DEPTH	GROUND	NA	Maximum water depth			NA	0		Condition
MEDDEPTH_LITTER	GROUND	NA	Median depth of litter across all 1-m2 quadrats in AA			NA	0		Condition
MEDN_AC	PLANT	NA	Median Number of Alien + Cryptogenic Species/100-m2Plot			NA	0		Stressor
MEDN_ADVSPP	PLANT	NA	Median Number of Adventive Species across 100-m2Plots			NA	0		Stressor
MEDN_ALIENSPP	PLANT	NA	Median Number of Alien( INTR + ADV) Species across 100-m2 Plots			NA	0		Stressor
MEDN_CRYPSPP	PLANT	NA	Median Number of Cryptogenic Species/100-m2Plot			NA	0		Stressor
MEDN_FAM	PLANT	NA	Median Number of Families across 100-m2 Plots			NA	0		Condition
MEDN_GEN	PLANT	NA	Median Number of Genera across 100-m2 Plots			NA	0		Condition
MEDN_INTRSPP	PLANT	NA	Median Number of Introduced Species across 100-m2Plots			NA	0		Stressor
MEDN_NATSPP	PLANT	NA	Median Number of Native Species across 100-m2Plots			NA	0		Condition
MEDN_SPP	PLANT	NA	Median Number of Species across 100-m2Plots			NA	0		Condition
MIN_COV_H2O	GROUND	NA	Minimum Total cover of water			NA	0		Condition
MIN_H2O_DEPTH	GROUND	NA	Minimum water depth			NA	0		Condition
N_ANN_BIEN	PLANT	NA	"ANNUAL-BIENNIAL, BIENNIAL Richness (Species with ANNUAL or Biennial, or Biennial only life cycle durations)"			NA	0		Condition
N_ANN_BIEN_AC	PLANT	NA	"Alien + Cryptogenic ANNUAL-BIENNIAL, BIENNIAL Richness (Species with ANNUAL or Biennial, or Biennial only life cycle durations)"			NA	0		Stressor
N_ANN_BIEN_NAT	PLANT	NA	"Native ANNUAL-BIENNIAL, BIENNIAL Richness (Species with ANNUAL or Biennial, or Biennial only life cycle durations)"			NA	0		Condition
N_ANN_PEREN	PLANT	NA	"ANNUAL, BIENNIAL, PERENNIAL Richness (Species with multiple life cycle durations including annual and/or biennial, and perennial)"			NA	0		Condition
N_ANN_PEREN_AC	PLANT	NA	"Alien + Cryptogenic ANNUAL, BIENNIAL, PERENNIAL Richness (Species with multiple life cycle durations including annual and/or biennial, and perennial)"			NA	0		Stressor
N_ANN_PEREN_NAT	PLANT	NA	"Native ANNUAL, BIENNIAL, PERENNIAL Richness (Species with multiple life cycle durations including annual and/or biennial, and perennial)"			NA	0		Condition
N_ANNUAL	PLANT	NA	ANNUAL Richness (Species with annual life cycle duration)			NA	0		Condition
N_ANNUAL_AC	PLANT	NA	Alien + Cryptogenic ANNUAL Richness (Species with annual life cycle duration)			NA	0		Stressor
N_ANNUAL_NAT	PLANT	NA	Native ANNUAL Richness (Species with annual life cycle duration)			NA	0		Condition
N_DICOT	PLANT	NA	DICOT richness			NA	0		Condition
N_DICOTS_AC	PLANT	NA	Alien + Cryptogenic DICOT richness			NA	0		Stressor
N_DICOTS_ALIEN	PLANT	NA	Alien DICOT richness			NA	0		Stressor
N_DICOTS_CRYP	PLANT	NA	Cryptogenic DICOT richness			NA	0		Condition
N_DICOTS_NAT	PLANT	NA	Native DICOT richness			NA	0		Condition
N_FAC	PLANT	NA	Number of Facultative  species			NA	0		Condition
N_FACU	PLANT	NA	Number of Facultative Upland species			NA	0		Condition
N_FACW	PLANT	NA	Number of Facultative Wetland species			NA	0		Condition
N_FERN	PLANT	NA	FERN richness			NA	0		Condition
N_FERNS_INTR	PLANT	NA	Introduced FERN richness			NA	0		Stressor
N_FERNS_NAT	PLANT	NA	Native FERN richness			NA	0		Condition
N_FORB	PLANT	NA	"FORB richness, including GROWTH_HABIT categories 'FORB/HERB','FORB/HERB, SHRUB','FORB/HERB, SHRUB, SUBSHRUB','FORB/HERB, SUBSHRUB'"			NA	0		Condition
N_FORB_AC	PLANT	NA	ALIEN and CRYP FORB richness			NA	0		Stressor
N_FORB_NAT	PLANT	NA	NATIVE FORB  richness			NA	0		Condition
N_GRAMINOID	PLANT	NA	GRAMINOID richness including GROWTH_HABIT			NA	0		Condition
N_GRAMINOID_AC	PLANT	NA	ALIEN AND CRYP GRAMINOID richness			NA	0		Stressor
N_GRAMINOID_NAT	PLANT	NA	NATIVE GRAMINOID richness			NA	0		Condition
N_GYMNOSPERM	PLANT	NA	GYMNOSPERM richness			NA	0		Condition
N_HERB	PLANT	NA	Herbaceous (FORB+GRAMINOID  richness			NA	0		Condition
N_HERB_AC	PLANT	NA	ALIEN + CRYP Herbaceous (FORB+GRAMINOID)  richness			NA	0		Stressor
N_HERB_NAT	PLANT	NA	NATIVE Herbaceous (FORB+GRAMINOID  richness			NA	0		Condition
N_HMED_TREE	TREE	NA	"Richness of HMED tree species,  trees  > 5m to 15m tall"			NA	0		Condition
N_HORSETAIL	PLANT	NA	HORSETAIL richness			NA	0		Condition
N_HSEN	PLANT	NA	Number (Richness) Highly Sensitive Species; C >=9			NA	0		Condition
N_HTOL	PLANT	NA	Number (Richness) Highly Toleraant Species; C<=2			NA	0		Condition
N_ISEN	PLANT	NA	Number (Richness) Intermediate Sensitivity Species C= 5 to 6			NA	0		Condition
N_LITTER_TYPE	GROUND	NA	Number of unique litter types observed across the 5 100-m2 plots			NA	0		Condition
N_LMED_TREE	TREE	NA	"Richness  of LMED tree species, trees > 2 to 5m tall"			NA	0		Condition
N_LYCOPOD	PLANT	NA	LYCOPOD richness			NA	0		Condition
N_MONOCOT	PLANT	NA	MONOCOT richness			NA	0		Condition
N_MONOCOTS_AC	PLANT	NA	Alien + Cryptogenic MONOCOT richness			NA	0		Stressor
N_MONOCOTS_ALIEN	PLANT	NA	Alien MONOCOT richness			NA	0		Stressor
N_MONOCOTS_CRYP	PLANT	NA	Cryptogenic MONOCOT richness			NA	0		Stressor
N_MONOCOTS_NAT	PLANT	NA	Native MONOCOT richness			NA	0		Condition
N_OBL	PLANT	NA	Number of Obligate species			NA	0		Condition
N_OBLFACW_AC	PLANT	NA	Number of f Alien + Cryptogenic Obligate and facultative wetland species			NA	0		Stressor
N_PEAT_MOSS_DOM	VEGTYPE	NA	Number of plots where bryophytes are dominated by Sphagnum or other peat forming moss			NA	0		Condition
N_PERENNIAL	PLANT	NA	PERENNIAL Richness (perennial only species)			NA	0		Condition
N_PERENNIAL_AC	PLANT	NA	Alien + Cryptogenic PERENNIAL Richness (perennial only species)			NA	0		Stressor
N_PERENNIAL_NAT	PLANT	NA	Native PERENNIAL Richness (perennial only species)			NA	0		Condition
N_SANDT	VEGTYPE	NA	Number of unique S&T Types in AA			NA	0		Condition
N_SEN	PLANT	NA	Number (Richness) Sensitive Species; C >=7			NA	0		Condition
N_SHRUB	PLANT	NA	"SHRUB richness, including GROWTH_HABIT categories 'SHRUB','SHRUB, TREE','TREE, SUBSHRUB, SHRUB','SHRUB, SUBSHRUB, TREE'"			NA	0		Condition
N_SHRUB_COMB	PLANT	NA	"Combined Shrub growth habits (N-SHRUB, N_SSHRUB_SHRUB, N_SSHRUB_FORB) richness"			NA	0		Condition
N_SHRUB_COMB_AC	PLANT	NA	"ALIEN and CRYP richness for Combined Shrub growth habits (N_SHRUB, N_SSHRUB_SHRUB, N_SSHRUB_FORB)"			NA	0		Stressor
N_SHRUB_COMB_NAT	PLANT	NA	"Native richness of Combined Shrub growth habits (N-SHRUB, N_SSHRUB_SHRUB, N_SSHRUB_FORB) richness"			NA	0		Condition
N_SMALL_TREE	TREE	NA	"Richness of SMALL trees, trees 0.5m to 2m tall"			NA	0		Condition
N_SSHRUB_FORB	PLANT	NA	"SUBSHRUB-FORB richness including GROWTH_HABIT categories 'SUBSHRUB, FORB/HERB','SUBSHRUB, SHRUB, FORB/HERB'"			NA	0		Condition
N_SSHRUB_SHRUB	PLANT	NA	"SUBSHRUB-SHRUB richness, including GROWTH_HABIT categories 'SUBSHRUB','SUBSHRUB, SHRUB','SHRUB, SUBSHRUB','SUBSHRUB, SHRUB, TREE'"			NA	0		Condition
N_TALL_TREE	TREE	NA	"Richness of TALL tree species,  trees > 15m  to 30m tall"			NA	0		Condition
N_TOL	PLANT	NA	Number (Richness) Tolerant Species; C <= 4			NA	0		Condition
N_TREE	PLANT	NA	TREE richness			NA	0		Condition
N_TREE_COMB	PLANT	NA	Tree and Tree_SHRUB richness			NA	0		Condition
N_TREE_COMB_AC	PLANT	NA	Alien and Cryptogenic Tree and Tree_SHRUB richness			NA	0		Stressor
N_TREE_COMB_NAT	PLANT	NA	Native Tree and Tree_SHRUB richness			NA	0		Condition
N_TREE_GROUND	TREE	NA	"Richness of ground layer tree species, trees < 2m"			NA	0		Condition
N_TREE_MID	TREE	NA	"Richness of  subcanopy tree species, trees  2m-15m tall"			NA	0		Condition
N_TREE_SHRUB	PLANT	NA	"TREE-SHRUB richness, including GROWTH_HABIT categories 'TREE, SHRUB','TREE, SHRUB, VINE'"			NA	0		Condition
N_TREE_UPPER	TREE	NA	"Richness of CANOPY tree species, trees  >15m"			NA	0		Condition
N_TREESPP	TREE	NA	Richness tree species			NA	0		Condition
N_UPL	PLANT	NA	Number of UPL species			NA	0		Condition
N_VASC_STRATA	VEGTYPE	NA	Number of  Unique Vascular Vegetation Strata across AA			NA	0		Condition
N_VINE	PLANT	NA	"VINE richness, including GROWTH_HABIT categories 'VINE, FORB/HERB','SUBSHRUB, FORB/HERB, VINE','FORB/HERB, VINE'"			NA	0		Condition
N_VINE_AC	PLANT	NA	VINE richness			NA	0		Stressor
N_VINE_NAT	PLANT	NA	VINE richness			NA	0		Condition
N_VINE_SHRUB	PLANT	NA	"VINE-SHRUB richness, including GROWTH_HABIT categories 'VINE, SHRUB','VINE, SUBSHRUB', 'SUBSHRUB, VINE','SHRUB, VINE','SHRUB, FORB/HERB, SUBSHRUB, VINE'"			NA	0		Condition
N_VINE_SHRUB_AC	PLANT	NA	Alien and cryptogenic VINE-SHRUB richness			NA	0		Stressor
N_VINE_SHRUB_NAT	PLANT	NA	Native VINE-SHRUB richness			NA	0		Condition
N_VSMALL_TREE	TREE	NA	"Richness of VSMALL tree species,  trees < 0.5m tall"			NA	0		Condition
N_VTALL_TREE	TREE	NA	"Richness of VTALL tree species, trees > 30m tall"			NA	0		Condition
PCTN_AC	PLANT	NA	Percent of total number of Alien +  Cryptogenic species observed in all 100-m2 plots native			100	0		Stressor
PCTN_ADVSPP	PLANT	NA	Percent of total number of  Adventive species observed in all 100-m2 plots			100	0		Stressor
PCTN_ALIENSPP	PLANT	NA	Percent of total number of Alien species observed in all 100-m2 plots			100	0		Stressor
PCTN_ANN_BIEN	PLANT	NA	"Percent ANNUAL-BIENNIAL, BIENNIAL Richness (Species with ANNUAL or Biennial, or Biennial only life cycle durations)"			100	0		Condition
PCTN_ANN_BIEN_AC	PLANT	NA	"Alien + Cryptogenic Percent ANNUAL-BIENNIAL, BIENNIAL Richness (Species with ANNUAL or Biennial, or Biennial only life cycle durations)"			100	0		Stressor
PCTN_ANN_BIEN_NAT	PLANT	NA	"Native Percent ANNUAL-BIENNIAL, BIENNIAL Richness (Species with ANNUAL or Biennial, or Biennial only life cycle durations)"			100	0		Condition
PCTN_ANN_PEREN	PLANT	NA	"Percent ANNUAL, BIENNIAL, PERENNIAL Richness (Species with multiple life cycle durations including annual and/or biennial, and perennial)"			100	0		Condition
PCTN_ANN_PEREN_AC	PLANT	NA	"Alien + Cryptogenic Percent ANNUAL, BIENNIAL, PERENNIAL Richness (Species with multiple life cycle durations including annual and/or biennial, and perennial)"			100	0		Stressor
PCTN_ANN_PEREN_NAT	PLANT	NA	"Native Percent ANNUAL, BIENNIAL, PERENNIAL Richness (Species with multiple life cycle durations including annual and/or biennial, and perennial)"			100	0		Condition
PCTN_ANNUAL	PLANT	NA	Percent ANNUAL Richness (Species with annual life cycle duration)			100	0		Condition
PCTN_ANNUAL_AC	PLANT	NA	Alien + Cryptogenic Percent ANNUAL Richness (Species with annual life cycle duration)			100	0		Stressor
PCTN_ANNUAL_NAT	PLANT	NA	Native Percent ANNUAL Richness (Species with annual life cycle duration)			100	0		Condition
PCTN_CRYPSPP	PLANT	NA	Percent of total number of Cryptogenic species observed in all 100-m2 plots native			100	0		Stressor
PCTN_DICOT	PLANT	NA	DICOT percent richness			100	0		Condition
PCTN_DICOTS_AC	PLANT	NA	Alien + Cryptogenic DICOT percent richness			100	0		Stressor
PCTN_DICOTS_ALIEN	PLANT	NA	Alien DICOT percent richness			100	0		Stressor
PCTN_DICOTS_CRYP	PLANT	NA	Cryptogenic DICOT percent richness			100	0		Stressor
PCTN_DICOTS_NAT	PLANT	NA	Native DICOT percent richness			100	0		Condition
PCTN_FAC	PLANT	NA	% Number of Facultative  species			100	0		Condition
PCTN_FACU	PLANT	NA	% Number of Facultative Upland species			100	0		Condition
PCTN_FACW	PLANT	NA	% Number of Facultative Wetland species			100	0		Condition
PCTN_FERN	PLANT	NA	FERN percent richness			100	0		Condition
PCTN_FERNS_INTR	PLANT	NA	Introduced FERN percent richness			100	0		Stressor
PCTN_FERNS_NAT	PLANT	NA	Native FERN percent richness			100	0		Condition
PCTN_FORB	PLANT	NA	FORB percent richness			100	0		Condition
PCTN_FORB_AC	PLANT	NA	Alien and cryptogenic FORB percent richness			100	0		Stressor
PCTN_FORB_NAT	PLANT	NA	Native FORB percent richness			100	0		Condition
PCTN_GRAMINOID	PLANT	NA	GRAMINOID percent richness			100	0		Condition
PCTN_GRAMINOID_AC	PLANT	NA	Alien + Cryptogenic GRAMINOID percent richness			100	0		Stressor
PCTN_GRAMINOID_NAT	PLANT	NA	Native GRAMINOID percent richness			100	0		Condition
PCTN_GYMNOSPERM	PLANT	NA	GYMNOSPERM percent richness			100	0		Condition
PCTN_HERB	PLANT	NA	Percent Herbaceous (FORB+GRAMINOID  richness			100	0		Condition
PCTN_HERB_AC	PLANT	NA	Percent ALIEN + CRYP Herbaceous (FORB+GRAMINOID)  richness			100	0		Stressor
PCTN_HERB_NAT	PLANT	NA	Percent NATIVE Herbaceous (FORB+GRAMINOID  richness			100	0		Condition
PCTN_HORSETAIL	PLANT	NA	HORSETAIL percent richness			100	0		Condition
PCTN_HSEN	PLANT	NA	% Number (Richness) Highly Sensitive Species; C >=9			100	0		Condition
PCTN_HTOL	PLANT	NA	% Number (Richness) Highly Tolerant Species; C<=2			100	0		Condition
PCTN_INTRSPP	PLANT	NA	Percent of total number of introduced species observed in all 100-m2 plots native			100	0		Stressor
PCTN_ISEN	PLANT	NA	% Number (Richness) Intermediate Sensitivity Species C= 5 to 6			100	0		Condition
PCTN_LYCOPOD	PLANT	NA	LYCOPOD percent richness			100	0		Condition
PCTN_MONOCOT	PLANT	NA	MONOCOT percent richness			100	0		Condition
PCTN_MONOCOTS_AC	PLANT	NA	Alien + Cryptogenic MONOCOT percent richness			100	0		Stressor
