PUBLICATION_DATE,UID,CLASS_FIELD_FWSST,DATE_COL,ECO_X_ST,NWCA_ECO4,SITE_ID,SITE_USE,STATE,VISIT_NO,AA_AREA,AA_CENTER,AA_LAT,AA_LAYOUT,AA_LON,AA_POINT,CLASS_1,CLASS_2,CLASS_3,DEPRESSION,DISTANCE_VAR,FLATS,FWS_ST,HGM_CLASS,LACUSTRINE,PHOTO,RIVERINE,SATELLITES_NUM,SLOPE,SYSTEM_1,SYSTEM_2,SYSTEM_3,TIDAL
7/28/2016,3265,PFO,10-May-11,CPL-PW,CPL,NWCA11-1011,NWCA_PROBABILITY,AL,1,0.5,POINT_NOT_AACENTER,30.89779,STANDARD_CIRCULAR_SHIFTED,87.91708,NO,,,,,,,PFO,RIVERINE,,Y,TIDAL,,,,,,
7/28/2016,3275,E2SS,11-Apr-11,E2SS,CPL,NWCA11-2410,NWCA_PROBABILITY,SC,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,E2SS,,,Y,,,,,,,
7/28/2016,3314,E2EM,12-May-11,E2EM,W,NWCA11-1105,NWCA_PROBABILITY,CA,1,0.5,POINT_NOT_AACENTER,37.51965,STANDARD_CIRCULAR_SHIFTED,122.21677,YES,,,,,3,,E2EM,TIDAL,,Y,,0,,,,,NATURAL
7/28/2016,3315,PFO,25-Apr-11,CPL-PW,CPL,NWCA11-2402,NWCA_REVISITS,SC,2,,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,PF,RIVERINE,,Y,LOWER_PERENNIAL,,,,,,
7/28/2016,3316,PUBPAB,27-Apr-11,EMU-PH,EMU,NWCA11-2401,NWCA_REVISITS,SC,2,,POINT_AACENTER,,WETLAND_BOUNDARY,,YES,,,,OPEN,3,,PUBPAB,DPRSS,,Y,,,,,,,
7/28/2016,3317,E2EM,13-Jun-11,E2EM,CPL,NWCA11-2639,NWCA_PROBABILITY,VA,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,E2EM,TIDAL,,,,9,,,,,NATURAL
7/28/2016,3339,E2EM,9-Jun-11,E2EM,CPL,NWCA11-2637,NWCA_PROBABILITY,VA,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,5,FLATS_ORGNC,E2EM,FLATS,,,,9,,,,,
7/28/2016,3340,E2SS,8-Jun-11,E2SS,CPL,NWCA11-2536,NWCA_PROBABILITY,TX,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,E2SS,TIDAL,,Y,,12,,,,,NATURAL
7/28/2016,3358,E2EM,5-May-11,E2EM,CPL,NWCA11-2420,NWCA_PROBABILITY,SC,1,,POINT_NOT_AACENTER,32.81949,STANDARD_CIRCULAR_SHIFTED,79.72659,YES,,,,,8,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,3360,PSS,9-May-11,CPL-PW,CPL,NWCA11-2055,NWCA_PROBABILITY,NC,1,0.18,POINT_NOT_AACENTER,36.086082,WETLAND_BOUNDARY,77.658468,YES,BOTTOM LAND HARDWOOD FORE,,,OPEN_HUMAN_EXCIMP,15,,PSS,DPRSS,,Y,,7,,NC WETLAND ASSESSMENT MET,NC WETLAND ASSESSMENT MET,,
7/28/2016,3362,PFO,10-May-11,CPL-PW,CPL,NWCA11-2027,NWCA_PROBABILITY,NC,1,,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,RIVERINE SWAMP FOREST,,,,,,PFO,RIVERINE,,Y,LOWER_PERENNIAL,,,NC WETLAND ASSESSMENT MET,,,
7/28/2016,3366,PFO,6-Apr-11,CPL-PW,CPL,NWCA11-2402,NWCA_PROBABILITY,SC,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,6,,PFO,RIVERINE,,Y,LOWER_PERENNIAL,,,,,,
7/28/2016,3401,E2SS,23-May-11,E2SS,CPL,NWCA11-2066,NWCA_PROBABILITY,NC,1,0.5,POINT_NOT_AACENTER,34.804609,STANDARD_CIRCULAR,76.453232,YES,SALT/BRACKISH MARSH,,,,24,,E2SS,TIDAL,,Y,,6,,NC WETLAND ASSESSMENT METHOD,,,NATURAL
7/28/2016,3403,E2SS,24-May-11,E2SS,CPL,NWCA11-2025,NWCA_PROBABILITY,NC,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,ESTUARINE WOODY WETLAND,,,,,FLATS_ORGNC,E2SS,FLATS,,Y,,,,NC WETLAND ASSESSMENT METHOD,,,
7/28/2016,3404,E2EM,3-May-11,E2EM,CPL,NWCA11-2404,NWCA_PROBABILITY,SC,1,,POINT_NOT_AACENTER,32.81767,STANDARD_CIRCULAR_SHIFTED,79.72677,YES,,,,,5,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,3405,E2EM,31-May-11,E2EM,CPL,NWCA11-2412,NWCA_PROBABILITY,SC,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,E2EM,TIDAL,,,,,,,,,NATURAL
7/28/2016,3406,PFO,2-Jun-11,EMU-PW,EMU,NWCA11-2777,NWCA_PROBABILITY,WV,1,0.3,POINT_NOT_AACENTER,39.04199,WETLAND_BOUNDARY,79.60713,YES,CES202.706 SCI STREAM & RIPARIAN,M029 N&C FLOODPLAIN FOREST,,,10,,PFO,RIVERINE,,Y,LOWER_PERENNIAL,6,,NATURESERVE ECOLOGICAL SYSTEM,N.V.C. MACROGROUP,,
7/28/2016,3408,E2SS,15-Jun-11,E2SS,CPL,NWCA11-2666,NWCA_PROBABILITY,VA,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,FLATS_HUMAN,E2SS,FLATS,,,,,,,,,
7/28/2016,3409,E2SS,14-Jun-11,E2SS,CPL,NWCA11-2653,NWCA_PROBABILITY,VA,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,5,FLATS_ORGNC,E2SS,FLATS,,,,9,,,,,
7/28/2016,3411,E2EM,7-Jun-11,E2EM,CPL,NWCA11-2647,NWCA_PROBABILITY,VA,1,0.5,POINT_AACENTER,37.34426,STANDARD_CIRCULAR,76.55387,YES,,,,,5,,E2EM,RIVERINE,,Y,UPPER_PERENNIAL,7,,,,,
7/28/2016,3434,PEM,16-Jun-11,IPL-PH,IPL,NWCA11-ND-5052,NWCA_PROBABILITY,ND,1,,POINT_NOT_AACENTER,46.11761,POLYGON,98.87656,NO,SEMI PERMANENT,,,CLOSED,1,,PEM,DPRSS,,Y,,7,,STEWART AND KANTRUD 1971,,,
7/28/2016,3436,E2EM,2-Jun-11,E2EM,CPL,NWCA11-2634,NWCA_PROBABILITY,VA,1,0.5,POINT_AACENTER,37.32785,STANDARD_CIRCULAR,76.28042,YES,,,,,5,FLATS_ORGNC,E2EM,FLATS,,Y,,7,,,,,
7/28/2016,3437,E2SS,19-Jul-11,E2SS,CPL,NWCA11-2651,NWCA_PROBABILITY,VA,1,0.5,POINT_NOT_AACENTER,37.33234,STANDARD_CIRCULAR_SHIFTED,76.28352,YES,,,,,3,,E2SS,TIDAL,,,,8,,,,,NATURAL
7/28/2016,3438,E2EM,30-Jun-11,E2EM,CPL,NWCA11-2652,NWCA_PROBABILITY,VA,1,,POINT_NOT_AACENTER,37.55036,STANDARD_CIRCULAR_SHIFTED,75.70007,YES,,,,,3,FLATS_ORGNC,E2EM,FLATS,,,,0,,,,,
7/28/2016,3451,PEM,1-Aug-11,EMU-PH,EMU,NWCA11-R305,NWCA_NOT_PROBABILITY,ME,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,OPEN_BEAVER_IMPOUND,,,PEM,DPRSS,,Y,,,,,,,
7/28/2016,3452,PEM,3-Aug-11,EMU-PH,EMU,NWCA11-R306,NWCA_NOT_PROBABILITY,ME,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,OPEN,,,PEM,DPRSS,,Y,,,,,,,
7/28/2016,3453,E2EM,26-Jul-11,E2EM,CPL,NWCA11-2427,NWCA_PROBABILITY,SC,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,3454,PEM,29-Jun-11,EMU-PH,EMU,NWCA11-OH-3020,NWCA_PROBABILITY,OH,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,IA SURFACE WATER DEPRESSI,2BV REED CANARY GRASS MEA,,OPEN,,,PEM,DPRSS,,Y,,,,HYDROGEOMORPHIC (OH),PLANT COMMUNITY (OH),,
7/28/2016,3456,PEM,6-Jul-11,IPL-PH,IPL,NWCA11-ND-5001,NWCA_PROBABILITY,ND,1,0.4,POINT_NOT_AACENTER,47.19957,WETLAND_BOUNDARY,98.7878,YES,SEASONAL,,,CLOSED,2,,PEM,DPRSS,,Y,,7,,STEWARD & KANTRUD 1971,,,
7/28/2016,3457,PEM,21-Jul-11,IPL-PH,IPL,NWCA11-ND-5001,NWCA_REVISITS,ND,2,0.4,POINT_NOT_AACENTER,47.19957,WETLAND_BOUNDARY,98.7878,YES,SEASONAL,,,CLOSED,2,,PEM,DPRSS,,Y,,7,,STEWART & KANTRUD 1971,,,
7/28/2016,3467,PEM,5-Jun-11,CPL-PH,CPL,NWCA11-1059,NWCA_PROBABILITY,AR,1,,POINT_NOT_AACENTER,33.21162,WETLAND_BOUNDARY,93.10194,NO,,,,,7,,PEM,RIVERINE,,,UPPER_PERENNIAL,4,,,,,
7/28/2016,3468,PEM,2-Jun-11,CPL-PH,CPL,NWCA11-1054,NWCA_PROBABILITY,AR,1,0.5,POINT_NOT_AACENTER,34.23351,STANDARD_CIRCULAR_SHIFTED,91.96092,NO,,,,,6,,PEM,RIVERINE,,,BEAVER_IMPOUND,5,,,,,
7/28/2016,3469,E2EM,6-Jul-11,E2EM,CPL,NWCA11-1021,NWCA_PROBABILITY,AL,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,3471,E2EM,22-Jun-11,E2EM,CPL,NWCA11-1017,NWCA_PROBABILITY,AL,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,3473,E2EM,21-Jun-11,E2EM,CPL,NWCA11-1002,NWCA_REVISITS,AL,2,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,FLATS_MNERL,E2EM,FLATS,,Y,,,,,,,
7/28/2016,3483,E2EM,20-Jul-11,E2EM,EMU,NWCA11-1823,NWCA_PROBABILITY,ME,1,0.5,POINT_NOT_AACENTER,44.54002,STANDARD_CIRCULAR,67.62811,YES,,,,,3,,E2EM,TIDAL,,Y,,10,,,,,NATURAL
7/28/2016,3484,PSS,13-Jul-11,EMU-PW,EMU,NWCA11-1821,NWCA_PROBABILITY,ME,1,0.5,POINT_NOT_AACENTER,45.97857,STANDARD_CIRCULAR,70.14911,YES,,,,,3,FLATS_ORGNC,PSS,FLATS,,Y,,9,,,,,
7/28/2016,3486,PEM,14-Jul-11,EMU-PH,EMU,NWCA11-1837,NWCA_PROBABILITY,ME,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,OPEN_BEAVER_IMPOUND,,,PEM,DPRSS,,Y,,,,,,,
7/28/2016,3487,PUBPAB,12-Jul-11,W-PH,W,NWCA11-2225,NWCA_PROBABILITY,NM,1,0.2,POINT_AACENTER,36.97559,WETLAND_BOUNDARY,104.47836,NO,,,,OPEN,2.2,,PUBPAB,DPRSS,,Y,,10,,,,,
7/28/2016,3488,PEM,1-Aug-11,W-PH,W,NWCA11-2225,NWCA_REVISITS,NM,2,0.2,POINT_NOT_AACENTER,36.97555,WETLAND_BOUNDARY,104.47832,YES,,,,,2.6,,PEM,RIVERINE,,Y,HUMAN_ALTERED,0,,,,,
7/28/2016,3492,PEM,28-Jul-11,IPL-PH,IPL,NWCA11-2232,NWCA_PROBABILITY,NM,1,0.5,POINT_NOT_AACENTER,32.69393,STANDARD_CIRCULAR,103.45734,YES,,,,CLOSED,99,,PEM,DPRSS,,Y,,11,,,,,
7/28/2016,3494,PSS,19-Jul-11,W-PW,W,NWCA11-2238,NWCA_PROBABILITY,NM,1,0.5,POINT_AACENTER,36.36975,STANDARD_CIRCULAR,107.46597,YES,,,,,24,,PSS,RIVERINE,,Y,LOWER_PERENNIAL,8,,,,,
7/28/2016,3496,PSS,19-Jul-11,W-PW,W,NWCA11-2241,NWCA_PROBABILITY,NM,1,0.5,POINT_AACENTER,36.37415,STANDARD_CIRCULAR,107.46869,YES,,,,,2.3,,PSS,RIVERINE,,Y,LOWER_PERENNIAL,9,,,,,
7/28/2016,3497,PEM,6-Jul-11,W-PH,W,NWCA11-2785,NWCA_PROBABILITY,WY,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,,PEM,RIVERINE,,Y,,,,,,,
7/28/2016,3501,PEM,25-Jul-11,W-PH,W,NWCA11-2785,NWCA_REVISITS,WY,2,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,,PEM,RIVERINE,,Y,,,,,,,
7/28/2016,3502,PEM,21-Jul-11,W-PH,W,NWCA11-2790,NWCA_PROBABILITY,WY,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,NO,,,,,,,PEM,RIVERINE,,Y,,,,,,,
7/28/2016,3503,PSS,22-Jul-11,W-PW,W,NWCA11-2794,NWCA_PROBABILITY,WY,1,0.5,POINT_NOT_AACENTER,44.93228,WETLAND_BOUNDARY,110.78442,YES,,,,,3,,PSS,SLOPE,,Y,,10,,,,,
7/28/2016,3504,PEM,7-Jul-11,W-PH,W,NWCA11-2799,NWCA_PROBABILITY,WY,1,0.1,POINT_AACENTER,,WETLAND_BOUNDARY,,NO,,,,,,,PEM,RIVERINE,,Y,,,,,,,
7/28/2016,3505,PSS,25-Jul-11,W-PW,W,NWCA11-2800,NWCA_PROBABILITY,WY,1,0.25,POINT_AACENTER,43.2126,WETLAND_BOUNDARY,109.99705,NO,,,,,3,,PSS,RIVERINE,,Y,,9,,,,,
7/28/2016,3506,PEM,14-Jul-11,W-PH,W,NWCA11-4025,NWCA_PROBABILITY,NM,1,0.5,POINT_AACENTER,36.99076,STANDARD_CIRCULAR,104.45513,YES,,,,CLOSED,1.9,,PEM,DPRSS,,Y,,10,,,,,
7/28/2016,3508,PEM,2-Aug-11,W-PH,W,NWCA11-4029,NWCA_PROBABILITY,NM,1,0.2,,36.98535,WETLAND_BOUNDARY,104.45648,NO,,,,CLOSED_HUMAN_EXCIMP,2.3,,PEM,DPRSS,,Y,,11,,,,,
7/28/2016,3511,PSS,4-Aug-11,W-PW,W,NWCA11-4031,NWCA_PROBABILITY,NM,1,0.5,POINT_AACENTER,36.39231,STANDARD_CIRCULAR,107.4678,YES,,,,,26,,PSS,RIVERINE,,Y,COMPLEX,0,,,,,
7/28/2016,3512,PEM,22-Jul-11,W-PH,W,NWCA11-4583,NWCA_PROBABILITY,WY,1,0.5,POINT_NOT_AACENTER,44.928,STANDARD_CIRCULAR_SHIFTED,110.778,YES,,,,,3,,PEM,RIVERINE,,Y,,12,,,,,
7/28/2016,3529,PSS,3-Aug-11,W-PW,W,NWCA11-1162,NWCA_PROBABILITY,CO,1,,POINT_NOT_AACENTER,39.26401,WETLAND_BOUNDARY,106.25387,YES,,,,,3,,PSS,SLOPE,,Y,,10,,,,,
7/28/2016,3530,PSS,6-Aug-11,W-PW,W,NWCA11-1174,NWCA_PROBABILITY,CO,1,0.25,POINT_AACENTER,,WETLAND_BOUNDARY,,NO,,,,,,,PSS,RIVERINE,,Y,UPPER_PERENNIAL,,,,,,
7/28/2016,3531,PSS,2-Aug-11,EMU-PW,EMU,NWCA11-1821,NWCA_REVISITS,ME,2,0.5,POINT_NOT_AACENTER,45.97856,STANDARD_CIRCULAR,70.14913,YES,,,,,3,,PSS,RIVERINE,,Y,UPPER_PERENNIAL,9,,,,,
7/28/2016,3532,PSS,26-Jul-11,EMU-PW,EMU,NWCA11-1824,NWCA_PROBABILITY,ME,1,0.5,POINT_NOT_AACENTER,44.6916,STANDARD_CIRCULAR,69.29369,YES,,,,,5,FLATS_ORGNC,PSS,FLATS,,Y,,8,,,,,
7/28/2016,3544,PSS,3-Aug-11,W-PW,W,NWCA11-2974,NWCA_PROBABILITY,CO,1,,POINT_NOT_AACENTER,39.25693,WETLAND_BOUNDARY,106.25748,YES,,,,,3,,PSS,RIVERINE,,Y,,12,,,,,
7/28/2016,3545,PEM,13-Jul-11,IPL-PH,IPL,NWCA11-OH-3006,NWCA_PROBABILITY,OH,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR_SHIFTED,,NO,IVF DIKED -UNMANAGED COASTAL,ZAIII MIXED EMERGENT MARSH,,CLOSED_HUMAN_IMPOUND,,,PEM,DPRSS,,Y,,,,HYDROGEOMORPHIC (OH),PLANT COMMUNITY (OH),,
7/28/2016,3547,PFO,25-May-11,CPL-PW,CPL,NWCA11-2415,NWCA_PROBABILITY,SC,1,0.5,POINT_NOT_AACENTER,33.179477,STANDARD_CIRCULAR_SHIFTED,79.44951,YES,,,,CLOSED,4,,PFO,DPRSS,,Y,,,,,,,
7/28/2016,3548,E2EM,21-Jul-11,E2EM,EMU,NWCA11-1836,NWCA_PROBABILITY,ME,1,0.5,POINT_AACENTER,44.42987,STANDARD_CIRCULAR,68.01253,YES,,,,,3,,E2EM,TIDAL,,Y,,9,,,,,NATURAL
7/28/2016,3562,E2EM,1-Aug-11,E2EM,CPL,NWCA11-1010,NWCA_PROBABILITY,AL,1,,POINT_NOT_AACENTER,30.27883,POLYGON,87.7412,NO,,,,,,,E2EM,TIDAL,,Y,,,,,,,NATURAL
7/28/2016,3569,E2EM,2-Aug-11,E2EM,CPL,NWCA11-1203,NWCA_PROBABILITY,DE,1,0.5,POINT_NOT_AACENTER,38.61739,STANDARD_CIRCULAR_SHIFTED,75.08488,YES,,,,,3,,E2EM,TIDAL,,,,10,,,,,NATURAL
7/28/2016,3570,E2EM,25-Jul-11,E2EM,CPL,NWCA11-2599,NWCA_PROBABILITY,TX,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,E2EM,TIDAL,,Y,,9,,,,,NATURAL
7/28/2016,3572,E2SS,20-Jul-11,E2SS,CPL,NWCA11-2600,NWCA_PROBABILITY,TX,1,0.5,POINT_NOT_AACENTER,29.17763,STANDARD_CIRCULAR_SHIFTED,95.00307,YES,,,,,3,,E2SS,TIDAL,,Y,,10,,,,,NATURAL
7/28/2016,3573,E2SS,18-Jul-11,E2SS,CPL,NWCA11-2582,NWCA_PROBABILITY,TX,1,0.4,POINT_NOT_AACENTER,29.54416,POLYGON,94.47452,YES,,,,,3,,E2SS,TIDAL,,Y,,11,,,,,HUMAN_ALTERED
7/28/2016,3574,E2EM,26-Jul-11,E2EM,CPL,NWCA11-2531,NWCA_PROBABILITY,TX,1,0.5,POINT_NOT_AACENTER,28.58938,STANDARD_CIRCULAR_SHIFTED,96.00709,YES,,,,,3,,E2EM,FLATS,,Y,,10,,,,,
7/28/2016,3575,E2EM,28-Jul-11,E2EM,CPL,NWCA11-1222,NWCA_PROBABILITY,DE,1,0.8,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,E2EM,TIDAL,,,,9,,,,,NATURAL
7/28/2016,3576,E2EM,26-Jul-11,E2EM,CPL,NWCA11-1210,NWCA_PROBABILITY,DE,1,0.5,POINT_NOT_AACENTER,38.45193,POLYGON,75.09835,YES,,,,,4,,E2EM,TIDAL,,,,10,,,,,NATURAL
7/28/2016,3624,E2EM,16-Aug-11,E2EM,CPL,NWCA11-R127,NWCA_NOT_PROBABILITY,MS,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,3,,E2EM,TIDAL,,Y,,12,,,,,NATURAL
7/28/2016,3627,PSS,8-Aug-11,EMU-PW,EMU,NWCA11-R307,NWCA_NOT_PROBABILITY,ME,1,0.5,POINT_NOT_AACENTER,44.04894,STANDARD_CIRCULAR,68.61601,NO,,,,OPEN,3,,PSS,DPRSS,,Y,,9,,,,,
7/28/2016,3629,PSS,11-Aug-11,EMU-PW,EMU,NWCA11-R308,NWCA_NOT_PROBABILITY,ME,1,0.5,POINT_AACENTER,,STANDARD_CIRCULAR,,YES,,,,,,,PSS,RIVERINE,,,UPPER_PERENNIAL,,,,,,
7/28/2016,3630,PEM,7-Jul-11,IPL-PH,IPL,NWCA11-ND-5003,NWCA_PROBABILITY,ND,1,0.3,POINT_NOT_AACENTER,47.6022,STANDARD_CIRCULAR,100.40842,YES,SEMI PERMANENT,,,CLOSED,1,,PEM,DPRSS,,Y,,7,,STEWART & KANTRUD 1971,,,
7/28/2016,3631,PEM,21-Jul-11,IPL-PH,IPL,NWCA11-ND-5003,NWCA_REVISITS,ND,2,0.5,POINT_NOT_AACENTER,47.6022,STANDARD_CIRCULAR,100.40842,YES,SEMI-PERMANENT,,,CLOSED,1,,PEM,DPRSS,,Y,,7,,STEWART & KANTRUD 1971,,,
7/28/2016,3632,PEM,18-Jul-11,IPL-PH,IPL,NWCA11-ND-5004,NWCA_PROBABILITY,ND,1,0.3,POINT_NOT_AACENTER,48.87932,WETLAND_BOUNDARY,100.66249,NO,,,,,1,,PEM,SLOPE,,Y,,7,TOPOGRAPHIC,,,,
7/28/2016,3636,PEM,13-Jul-11,IPL-PH,IPL,NWCA11-ND-5007,NWCA_PROBABILITY,ND,1,0.2,POINT_NOT_AACENTER,47.24542,WETLAND_BOUNDARY,103.28905,NO,,,,,1,,PEM,RIVERINE,,Y,UPPER_PERENNIAL,7,,,,,
7/28/2016,3637,PEM,20-Jul-11,IPL-PH,IPL,NWCA11-ND-5008,NWCA_PROBABILITY,ND,1,0.4,POINT_NOT_AACENTER,48.85367,WETLAND_BOUNDARY,101.73421,YES,SEASONAL,,,CLOSED,2,,PEM,DPRSS,,Y,,7,,STEWART & KANTRUD 1971,,,
7/28/2016,3638,PEM,5-Jul-11,IPL-PH,IPL,NWCA11-ND-5010,NWCA_PROBABILITY,ND,1,0.5,POINT_NOT_AACENTER,46.35438,STANDARD_CIRCULAR,97.46803,YES,,,,CLOSED,2,,PEM,DPRSS,,Y,,7,,,,,
7/28/2016,3639,PEM,7-Jul-11,IPL-PH,IPL,NWCA11-ND-5011,NWCA_PROBABILITY,ND,1,0.3,POINT_NOT_AACENTER,47.1843,POLYGON,100.40103,YES,PERMANENT,,,CLOSED,1,,PEM,DPRSS,,Y,,7,,STEWART & KANTRUD 1971,,,
7/28/2016,3640,PEM,19-Jul-11,IPL-PH,IPL,NWCA11-ND-5012,NWCA_PROBABILITY,ND,1,0.5,POINT_NOT_AACENTER,48.7697,POLYGON,102.64413,YES,SEMI-PERMANENT,,,CLOSED,3,,PEM,DPRSS,,Y,,7,,STEWART AND KANTRUD 1971,,,
7/28/2016,3641,PEM,12-Jul-11,IPL-PH,IPL,NWCA11-ND-5013,NWCA_PROBABILITY,ND,1,0.5,POINT_NOT_AACENTER,48.3898,STANDARD_CIRCULAR,99.72992,YES,SEMI-PERMANENT,,,CLOSED,2,,PEM,DPRSS,,Y,,7,,STEWART AND KANTRUD 1971,,,
